"city_name","state","state1","zipcode","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8"
"##Birmingham","Alabama","AL","35215","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Anchorage","Alaska","AK","99504","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Little Rock","Arkansas","AR","72209","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Phoenix","Arizona","AZ","85364","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Los Angeles","California","CA","90011","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Denver","Colorado","CO","80219","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Bridgeport","Connecticut","CT","06606","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Wilmington","Delaware","DE","19805","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Chevy Chase","District Of Columbia","DC","20015","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Jacksonville","Florida","FL","33186","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Atlanta","Georgia","GA","30044","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Honolulu","Hawaii","HI","96818","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Des Moines","Iowa","IA","50317","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Boise","Idaho","ID","83709","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"Chicago","Illinois","IL","60629","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Indianapolis","Indiana","IN","46227","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Wichita","Kansas","KS","66062","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Louisville","Kentucky","KY","40214","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##New Orleans","Louisiana","LA","70816","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Boston","Massachusetts","MA","02128","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Baltimore","Maryland","MD","21215","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Portland","Maine","ME","04401","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"Detroit","Michigan","MI","48228","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Minneapolis","Minnesota","MN","55106","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Kansas City","Missouri","MO","63129","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Jackson","Mississippi","MS","39503","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Billings","Montana","MT","59102","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"Charlotte","North Carolina","NC","28269","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Fargo","North Dakota","ND","58103","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Omaha","Nebraska","NE","68104","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Manchester","New Hampshire","NH","03103","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Newark","New Jersey","NJ","08701","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Albuquerque","New Mexico","NM","87121","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
"##Las Vegas","Nevada","NV","89110","${Q1}","${Q2}","${Q3}","${Q4}","${Q5}","${Q6}","${Q7}","${Q8}"
