"provider","state","state1","Enable","zipcode","Total","over6","upTo6","Max Duration"
"Everest Prime","Alabama","AL","Y","35215","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Alaska","AK","N","99504","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Arkansas","AR","Y","72209","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Arizona","AZ","Y","85364","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","California","CA","N","90011","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Colorado","CO","Y","80219","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Connecticut","CT","N","06606","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Delaware","DE","Y","19805","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","District Of Columbia","DC","Y","20015","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Florida","FL","Y","33186","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Georgia","GA","Y","30044","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Hawaii","HI","N","96818","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Iowa","IA","Y","50317","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Idaho","ID","Y","83709","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Illinois","IL","Y","60629","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Indiana","IN","Y","46227","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Kansas","KS","N","66062","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Kentucky","KY","Y","40214","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Louisiana","LA","Y","70816","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Massachusetts","MA","N","02128","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Maryland","MD","N","21215","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Maine","ME","N","04401","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Michigan","MI","N","48228","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Minnesota","MN","Y","55106","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Missouri","MO","Y","63129","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Mississippi","MS","Y","39503","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Montana","MT","N","59102","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","North Carolina","NC","Y","28269","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","North Dakota","ND","Y","58103","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Nebraska","NE","Y","68104","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","New Hampshire","NH","Y","03103","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","New Jersey","NJ","N","08701","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","New Mexico","NM","N","87121","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Nevada","NV","Y","89110","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","New York","NY","N","11226","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Ohio","OH","Y","43228","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Oklahoma","OK","Y","73160","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Oregon","OR","Y","97229","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Pennsylvania","PA","Y","19120","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Rhode Island","RI","N","02909","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","South Carolina","SC","Y","29223","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","South Dakota","SD","Y","57106","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Tennessee","TN","Y","37013","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Texas","TX","Y","79936","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Utah","UT","N","84120","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Virginia","VA","Y","23464","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Vermont","VT","N","05401","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Washington","WA","Y","98115","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Wisconsin","WI","Y","53215","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","West Virginia","WV","Y","25302","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest Prime","Wyoming","WY","Y","82001","${num}","${over6}","${upTo6}","${maxDuration}"
