"provider","state","state1","Enable","zipcode","Total","over6","upTo6","Max Duration"
"Everest","Alabama","AL","Y","35215","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Alaska","AK","N","99504","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Arkansas","AR","Y","72209","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Arizona","AZ","Y","85364","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","California","CA","N","90011","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Colorado","CO","Y","80219","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Connecticut","CT","N","06606","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Delaware","DE","Y","19805","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","District Of Columbia","DC","Y","20015","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Florida","FL","Y","33186","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Georgia","GA","Y","30044","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Hawaii","HI","N","96818","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Iowa","IA","Y","50317","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Idaho","ID","Y","83709","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Illinois","IL","Y","60629","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Indiana","IN","Y","46227","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Kansas","KS","N","66062","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Kentucky","KY","Y","40214","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Louisiana","LA","Y","70816","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Massachusetts","MA","N","02128","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Maryland","MD","N","21215","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Maine","ME","Y","04401","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Michigan","MI","N","48228","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Minnesota","MN","Y","55106","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Missouri","MO","Y","63129","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Mississippi","MS","Y","39503","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Montana","MT","N","59102","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","North Carolina","NC","Y","28269","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","North Dakota","ND","Y","58103","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Nebraska","NE","Y","68104","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","New Hampshire","NH","Y","03103","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","New Jersey","NJ","N","08701","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","New Mexico","NM","N","87121","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Nevada","NV","Y","89110","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","New York","NY","N","11226","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Ohio","OH","Y","43228","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Oklahoma","OK","Y","73160","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Oregon","OR","Y","97229","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Pennsylvania","PA","Y","19120","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Rhode Island","RI","N","02909","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","South Carolina","SC","Y","29223","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","South Dakota","SD","Y","57106","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Tennessee","TN","Y","37013","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Texas","TX","Y","79936","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Utah","UT","N","84120","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Virginia","VA","Y","23464","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Vermont","VT","N","05401","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Washington","WA","Y","98115","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Wisconsin","WI","Y","53215","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","West Virginia","WV","Y","25302","${num}","${over6}","${upTo6}","${maxDuration}"
"Everest","Wyoming","WY","Y","82001","${num}","${over6}","${upTo6}","${maxDuration}"
