"state","state1","zip","DOB","uri","state2","UW"
"Alabama","AL","35215","03/06/1980","${uri}","al","${UW}"
"##Alaska","AK","99504","03/06/1980","${uri}","ak","${UW}"
"Arkansas","AR","72209","03/06/1980","${uri}","ar","${UW}"
"Arizona","AZ","85364","03/06/1980","${uri}","az","${UW}"
"California","CA","90011","03/06/1980","${uri}","ca","${UW}"
"##Colorado","CO","80219","03/06/1980","${uri}","co","${UW}"
"##Connecticut","CT","06606","03/06/1980","${uri}","ct","${UW}"
"Delaware","DE","19805","03/06/1980","${uri}","de","${UW}"
"District Of Columbia","DC","20015","03/06/1980","${uri}","dc","${UW}"
"Florida","FL","33186","03/06/1980","${uri}","fl","${UW}"
"Georgia","GA","30044","03/06/1980","${uri}","ga","${UW}"
"Hawaii","HI","96818","03/06/1980","${uri}","hi","${UW}"
"##Iowa","IA","50317","03/06/1980","${uri}","ia","${UW}"
"##Idaho","ID","83709","03/06/1980","${uri}","id","${UW}"
"Illinois","IL","60629","03/06/1980","${uri}","il","${UW}"
"Indiana","IN","46227","03/06/1980","${uri}","in","${UW}"
"##Kansas","KS","66062","03/06/1980","${uri}","ks","${UW}"
"Kentucky","KY","40214","03/06/1980","${uri}","ky","${UW}"
"Louisiana","LA","70816","03/06/1980","${uri}","la","${UW}"
"##Massachusetts","MA","02128","03/06/1980","${uri}","ma","${UW}"
"##Maryland","MD","21215","03/06/1980","${uri}","md","${UW}"
"##Maine","ME","04401","03/06/1980","${uri}","me","${UW}"
"##Michigan","MI","48228","03/06/1980","${uri}","mi","${UW}"
"##Minnesota","MN","55106","03/06/1980","${uri}","mn","${UW}"
"Missouri","MO","63129","03/06/1980","${uri}","mo","${UW}"
"Mississippi","MS","39503","03/06/1980","${uri}","ms","${UW}"
"##Montana","MT","59102","03/06/1980","${uri}","mt","${UW}"
"North Carolina","NC","28269","03/06/1980","${uri}","nc","${UW}"
"North Dakota","ND","58103","03/06/1980","${uri}","nd","${UW}"
"Nebraska","NE","68104","03/06/1980","${uri}","ne","${UW}"
"##New Hampshire","NH","03103","03/06/1980","${uri}","nh","${UW}"
"##New Jersey","NJ","08701","03/06/1980","${uri}","nj","${UW}"
"New Mexico","NM","87121","03/06/1980","${uri}","nm","${UW}"
"Nevada","NV","89110","03/06/1980","${uri}","nv","${UW}"
"##New York","NY","11226","03/06/1980","${uri}","ny","${UW}"
"Ohio","OH","43228","03/06/1980","${uri}","oh","${UW}"
"Oklahoma","OK","73160","03/06/1980","${uri}","ok","${UW}"
"Oregon","OR","97229","03/06/1980","${uri}","or","${UW}"
"Pennsylvania","PA","19120","03/06/1980","${uri}","pa","${UW}"
"Rhode Island","RI","02909","03/06/1980","${uri}","ri","${UW}"
"South Carolina","SC","29223","03/06/1980","${uri}","sc","${UW}"
"##South Dakota","SD","57106","03/06/1980","${uri}","sd","${UW}"
"Tennessee","TN","37013","03/06/1980","${uri}","tn","${UW}"
"Texas","TX","79936","03/06/1980","${uri}","tx","${UW}"
"Utah","UT","84120","03/06/1980","${uri}","ut","${UW}"
"Virginia","VA","23464","03/06/1980","${uri}","va","${UW}"
"##Vermont","VT","05401","03/06/1980","${uri}","vt","${UW}"
"##Washington","WA","98115","03/06/1980","${uri}","wa","${UW}"
"Wisconsin","WI","53215","03/06/1980","${uri}","wi","${UW}"
"West Virginia","WV","25302","03/06/1980","${uri}","wv","${UW}"
"Wyoming","WY","82001","03/06/1980","${uri}","wy","${UW}"
