"provider","state","state1","zip","DOB","PlanName","uri","Deductible_Last_time","Deductible","Coinsurance_Last_time","Coinsurance","MOOP_Last_time","MOOP","Policy Max Out of Pocket'imum Benefit_Last_time","Policy Max Out of Pocket'imum Benefit"
"Companion Protect","Alabama","AL","35215","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Alaska","AK","99504","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Arkansas","AR","72209","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Arizona","AZ","85364","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","California","CA","90011","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Colorado","CO","80219","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Connecticut","CT","06606","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Delaware","DE","19805","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","District Of Columbia","DC","20015","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
"Companion Protect","Florida","FL","33186","03/06/1980","${PlanName}","${uri}","${Last_Deductible}","${Deductible}","${Coinsurance_Last_time}","${Coinsurance}","${MOOP_Last_time}","${Max Out of Pocket'}","${PMB_Last_time}","${PMB}"
