state,zipcode,planname,quote_P,final_P,uri,status
al,35215,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##ak,99504,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
ar,72209,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
az,85364,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##ca,90011,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##co,80219,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##ct,6606,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##de,19805,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
dc,20015,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
fl,33186,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
ga,30044,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##hi,96818,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##ia,50317,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
id,83709,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
il,60629,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
in,46227,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##ks,66062,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##ky,40214,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##la,70816,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##ma,2128,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##md,21215,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##me,4401,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
mi,48228,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##mn,55106,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
mo,63129,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
ms,39503,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##mt,59102,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##nc,28269,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##nd,58103,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
ne,68104,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##nh,3103,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##nj,8701,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##nm,87121,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
nv,89110,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##ny,11226,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##oh,43228,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
ok,73160,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##or,97229,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
pa,19120,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##ri,2909,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
sc,29223,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##sd,57106,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##tn,37013,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
tx,79936,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##ut,84120,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##va,23464,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##vt,5401,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##wa,98115,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
wi,53215,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
##wv,25302,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
wy,82001,National General Essentials Dental,${quote_P},${review_P_on_going},${uri},${status}
