"state","zipcode","planname","quote_P","final_P","uri","status"
"al","35215","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##ak","99504","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"ar","72209","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"az","85364","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"ca","90011","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##co","80219","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"ct","06606","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"de","19805","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"dc","20015","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"fl","33186","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"ga","30044","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"hi","96818","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"ia","50317","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"id","83709","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"il","60629","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"in","46227","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##ks","66062","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"ky","40214","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"la","70816","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##ma","02128","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##md","21215","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##me","04401","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##mi","48228","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##mn","55106","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"mo","63129","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"ms","39503","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##mt","59102","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##nc","28269","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"nd","58103","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"ne","68104","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##nh","03103","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"nj","08701","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"nm","87121","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"nv","89110","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##ny","11226","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"oh","43228","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"ok","73160","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"or","97229","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"pa","19120","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"ri","02909","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"sc","29223","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##sd","57106","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"tn","37013","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"tx","79936","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##ut","84120","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"va","23464","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##vt","05401","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"##wa","98115","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"wi","53215","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"wv","25302","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
"wy","82001","Foundation Dental - Protector I","${quote_P}","${review_P_on_going}","${uri}","${status}"
