"state1","zip","uri","DOB","upsell1","upsell2","upsell3","carrier_id","state2"
"AL","35215","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","al"
"##AK","99504","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ak"
"##AR","72209","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ar"
"AZ","85364","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","az"
"##CA","90011","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ca"
"CO","80219","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","co"
"##CT","06606","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ct"
"DE","19805","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","de"
"##DC","20015","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","dc"
"##FL","33186","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","fl"
"##GA","30044","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ga"
"##HI","96818","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","hi"
"IA","50317","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ia"
"##ID","83709","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","id"
"IL","60002","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","il"
"IN","46227","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","in"
"##KS","66062","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ks"
"KY","40214","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ky"
"LA","70816","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","la"
"##MA","02128","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ma"
"##MD","21215","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","md"
"##ME","04401","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","me"
"##MI","48228","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","mi"
"##MN","55106","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","mn"
"##MO","63129","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","mo"
"MS","39503","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ms"
"##MT","59102","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","mt"
"##NC","28269","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","nc"
"ND","58103","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","nd"
"NE","68104","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ne"
"##NH","03103","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","nh"
"##NJ","08701","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","nj"
"##NM","87121","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","nm"
"NV","89110","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","nv"
"##NY","11226","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ny"
"OH","43228","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","oh"
"##OK","73160","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ok"
"OR","97229","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","or"
"PA","19120","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","pa"
"##RI","02909","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ri"
"SC","29223","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","sc"
"##SD","57106","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","sd"
"##TN","37013","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","tn"
"TX","79936","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","tx"
"##UT","84120","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","ut"
"VA","23464","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","va"
"##VT","05401","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","vt"
"##WA","98115","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","wa"
"WI","53215","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","wi"
"WV","25302","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","wv"
"WY","82001","${uri}","12/21/1989","${upsell1}","${upsell2}","${upsell3}","cardinalchoice","wy"
