"state","state1","state2","zip","DOB","uri"
"##Alabama","AL","al","35215","03/06/1980","${uri}"
"##Alaska","AK","ak","99504","03/06/1980","${uri}"
"##Arkansas","AR","ar","72209","03/06/1980","${uri}"
"##Arizona","AZ","az","85364","03/06/1980","${uri}"
"##California","CA","ca","90011","03/06/1980","${uri}"
"##Colorado","CO","co","80219","03/06/1980","${uri}"
"##Connecticut","CT","ct","06606","03/06/1980","${uri}"
"##Delaware","DE","de","19805","03/06/1980","${uri}"
"##District Of Columbia","DC","dc","20015","03/06/1980","${uri}"
"##Florida","FL","fl","33186","03/06/1980","${uri}"
"##Georgia","GA","ga","30044","03/06/1980","${uri}"
"##Hawaii","HI","hi","96818","03/06/1980","${uri}"
"##Iowa","IA","ia","50317","03/06/1980","${uri}"
"##Idaho","ID","id","83709","03/06/1980","${uri}"
"##Illinois","IL","il","60629","03/06/1980","${uri}"
"##Indiana","IN","in","46227","03/06/1980","${uri}"
"##Kansas","KS","ks","66062","03/06/1980","${uri}"
"##Kentucky","KY","ky","40214","03/06/1980","${uri}"
"##Louisiana","LA","la","70816","03/06/1980","${uri}"
"##Massachusetts","MA","ma","02128","03/06/1980","${uri}"
"##Maryland","MD","md","21215","03/06/1980","${uri}"
"##Maine","ME","me","04401","03/06/1980","${uri}"
"##Michigan","MI","mi","48228","03/06/1980","${uri}"
"##Minnesota","MN","mn","55106","03/06/1980","${uri}"
"##Missouri","MO","mo","63129","03/06/1980","${uri}"
"##Mississippi","MS","ms","39503","03/06/1980","${uri}"
"##Montana","MT","mt","59102","03/06/1980","${uri}"
"##North Carolina","NC","nc","28269","03/06/1980","${uri}"
"##North Dakota","ND","nd","58103","03/06/1980","${uri}"
"##Nebraska","NE","ne","68104","03/06/1980","${uri}"
"##New Hampshire","NH","nh","03103","03/06/1980","${uri}"
"New Jersey","NJ","nj","08701","03/06/1980","${uri}"
"##New Mexico","NM","nm","87121","03/06/1980","${uri}"
"##Nevada","NV","nv","89110","03/06/1980","${uri}"
"##New York","NY","ny","11226","03/06/1980","${uri}"
"##Ohio","OH","oh","43228","03/06/1980","${uri}"
"##Oklahoma","OK","ok","73160","03/06/1980","${uri}"
"##Oregon","OR","or","97229","03/06/1980","${uri}"
"##Pennsylvania","PA","pa","19120","03/06/1980","${uri}"
"##Rhode Island","RI","ri","02909","03/06/1980","${uri}"
"##South Carolina","SC","sc","29223","03/06/1980","${uri}"
"##South Dakota","SD","sd","57106","03/06/1980","${uri}"
"##Tennessee","TN","tn","37013","03/06/1980","${uri}"
"##Texas","TX","tx","79936","03/06/1980","${uri}"
"##Utah","UT","ut","84120","03/06/1980","${uri}"
"##Virginia","VA","va","23464","03/06/1980","${uri}"
"Vermont","VT","vt","05401","03/06/1980","${uri}"
"##Washington","WA","wa","98115","03/06/1980","${uri}"
"##Wisconsin","WI","wi","53215","03/06/1980","${uri}"
"##West Virginia","WV","wv","25302","03/06/1980","${uri}"
"##Wyoming","WY","wy","82001","03/06/1980","${uri}"
