"state","state1","state2","zip","DOB","uri","UW"
"Alabama","AL","al","35215","03/06/1980","${uri}","${UW}"
"##Alaska","AK","ak","99504","03/06/1980","${uri}","${UW}"
"Arkansas","AR","ar","72209","03/06/1980","${uri}","${UW}"
"Arizona","AZ","az","85364","03/06/1980","${uri}","${UW}"
"##California","CA","ca","90011","03/06/1980","${uri}","${UW}"
"##Colorado","CO","co","80219","03/06/1980","${uri}","${UW}"
"##Connecticut","CT","ct","06606","03/06/1980","${uri}","${UW}"
"Delaware","DE","de","19805","03/06/1980","${uri}","${UW}"
"District Of Columbia","DC","dc","20015","03/06/1980","${uri}","${UW}"
"Florida","FL","fl","33186","03/06/1980","${uri}","${UW}"
"Georgia","GA","ga","30044","03/06/1980","${uri}","${UW}"
"Hawaii","HI","hi","96818","03/06/1980","${uri}","${UW}"
"Iowa","IA","ia","50317","03/06/1980","${uri}","${UW}"
"##Idaho","ID","id","83709","03/06/1980","${uri}","${UW}"
"Illinois","IL","il","60629","03/06/1980","${uri}","${UW}"
"Indiana","IN","in","46227","03/06/1980","${uri}","${UW}"
"##Kansas","KS","ks","66062","03/06/1980","${uri}","${UW}"
"Kentucky","KY","ky","40214","03/06/1980","${uri}","${UW}"
"Louisiana","LA","la","70816","03/06/1980","${uri}","${UW}"
"##Massachusetts","MA","ma","02128","03/06/1980","${uri}","${UW}"
"##Maryland","MD","md","21215","03/06/1980","${uri}","${UW}"
"##Maine","ME","me","04401","03/06/1980","${uri}","${UW}"
"Michigan","MI","mi","48228","03/06/1980","${uri}","${UW}"
"##Minnesota","MN","mn","55106","03/06/1980","${uri}","${UW}"
"Missouri","MO","mo","63129","03/06/1980","${uri}","${UW}"
"Mississippi","MS","ms","39503","03/06/1980","${uri}","${UW}"
"##Montana","MT","mt","59102","03/06/1980","${uri}","${UW}"
"North Carolina","NC","nc","28269","03/06/1980","${uri}","${UW}"
"North Dakota","ND","nd","58103","03/06/1980","${uri}","${UW}"
"Nebraska","NE","ne","68104","03/06/1980","${uri}","${UW}"
"##New Hampshire","NH","nh","03103","03/06/1980","${uri}","${UW}"
"##New Jersey","NJ","nj","08701","03/06/1980","${uri}","${UW}"
"New Mexico","NM","nm","87121","03/06/1980","${uri}","${UW}"
"Nevada","NV","nv","89110","03/06/1980","${uri}","${UW}"
"##New York","NY","ny","11226","03/06/1980","${uri}","${UW}"
"Ohio","OH","oh","43228","03/06/1980","${uri}","${UW}"
"Oklahoma","OK","ok","73160","03/06/1980","${uri}","${UW}"
"Oregon","OR","or","97229","03/06/1980","${uri}","${UW}"
"Pennsylvania","PA","pa","19120","03/06/1980","${uri}","${UW}"
"Rhode Island","RI","ri","02909","03/06/1980","${uri}","${UW}"
"South Carolina","SC","sc","29223","03/06/1980","${uri}","${UW}"
"##South Dakota","SD","sd","57106","03/06/1980","${uri}","${UW}"
"Tennessee","TN","tn","37013","03/06/1980","${uri}","${UW}"
"Texas","TX","tx","79936","03/06/1980","${uri}","${UW}"
"Utah","UT","ut","84120","03/06/1980","${uri}","${UW}"
"Virginia","VA","va","23464","03/06/1980","${uri}","${UW}"
"##Vermont","VT","vt","05401","03/06/1980","${uri}","${UW}"
"##Washington","WA","wa","98115","03/06/1980","${uri}","${UW}"
"Wisconsin","WI","wi","53215","03/06/1980","${uri}","${UW}"
"West Virginia","WV","wv","25302","03/06/1980","${uri}","${UW}"
"Wyoming","WY","wy","82001","03/06/1980","${uri}","${UW}"
