"state","state1","state2","zip","DOB","mon","conf_mon"
"Alabama","AL","al","35215","03/06/1980","${mon}","${conf_mon}"
"##Alaska","AK","ak","99504","03/06/1980","${mon}","${conf_mon}"
"Arkansas","AR","ar","72209","03/06/1980","${mon}","${conf_mon}"
"Arizona","AZ","az","85364","03/06/1980","${mon}","${conf_mon}"
"California","CA","ca","90011","03/06/1980","${mon}","${conf_mon}"
"##Colorado","CO","co","80219","03/06/1980","${mon}","${conf_mon}"
"##Connecticut","CT","ct","06606","03/06/1980","${mon}","${conf_mon}"
"Delaware","DE","de","19805","03/06/1980","${mon}","${conf_mon}"
"District Of Columbia","DC","dc","20015","03/06/1980","${mon}","${conf_mon}"
"Florida","FL","fl","33186","03/06/1980","${mon}","${conf_mon}"
"Georgia","GA","ga","30044","03/06/1980","${mon}","${conf_mon}"
"Hawaii","HI","hi","96818","03/06/1980","${mon}","${conf_mon}"
"##Iowa","IA","ia","50317","03/06/1980","${mon}","${conf_mon}"
"##Idaho","ID","id","83709","03/06/1980","${mon}","${conf_mon}"
"Illinois","IL","il","60629","03/06/1980","${mon}","${conf_mon}"
"Indiana","IN","in","46227","03/06/1980","${mon}","${conf_mon}"
"##Kansas","KS","ks","66062","03/06/1980","${mon}","${conf_mon}"
"Kentucky","KY","ky","40214","03/06/1980","${mon}","${conf_mon}"
"Louisiana","LA","la","70816","03/06/1980","${mon}","${conf_mon}"
"##Massachusetts","MA","ma","02128","03/06/1980","${mon}","${conf_mon}"
"##Maryland","MD","md","21215","03/06/1980","${mon}","${conf_mon}"
"##Maine","ME","me","04401","03/06/1980","${mon}","${conf_mon}"
"Michigan","MI","mi","48228","03/06/1980","${mon}","${conf_mon}"
"##Minnesota","MN","mn","55106","03/06/1980","${mon}","${conf_mon}"
"##Missouri","MO","mo","63129","03/06/1980","${mon}","${conf_mon}"
"Mississippi","MS","ms","39503","03/06/1980","${mon}","${conf_mon}"
"##Montana","MT","mt","59102","03/06/1980","${mon}","${conf_mon}"
"##North Carolina","NC","nc","28269","03/06/1980","${mon}","${conf_mon}"
"##North Dakota","ND","nd","58103","03/06/1980","${mon}","${conf_mon}"
"Nebraska","NE","ne","68104","03/06/1980","${mon}","${conf_mon}"
"##New Hampshire","NH","nh","03103","03/06/1980","${mon}","${conf_mon}"
"##New Jersey","NJ","nj","08701","03/06/1980","${mon}","${conf_mon}"
"New Mexico","NM","nm","87121","03/06/1980","${mon}","${conf_mon}"
"##Nevada","NV","nv","89110","03/06/1980","${mon}","${conf_mon}"
"##New York","NY","ny","11226","03/06/1980","${mon}","${conf_mon}"
"Ohio","OH","oh","43228","03/06/1980","${mon}","${conf_mon}"
"##Oklahoma","OK","ok","73160","03/06/1980","${mon}","${conf_mon}"
"##Oregon","OR","or","97229","03/06/1980","${mon}","${conf_mon}"
"Pennsylvania","PA","pa","19120","03/06/1980","${mon}","${conf_mon}"
"##Rhode Island","RI","ri","02909","03/06/1980","${mon}","${conf_mon}"
"South Carolina","SC","sc","29223","03/06/1980","${mon}","${conf_mon}"
"##South Dakota","SD","sd","57106","03/06/1980","${mon}","${conf_mon}"
"Tennessee","TN","tn","37013","03/06/1980","${mon}","${conf_mon}"
"##Texas","TX","tx","79936","03/06/1980","${mon}","${conf_mon}"
"##Utah","UT","ut","84120","03/06/1980","${mon}","${conf_mon}"
"Virginia","VA","va","23464","03/06/1980","${mon}","${conf_mon}"
"##Vermont","VT","vt","05401","03/06/1980","${mon}","${conf_mon}"
"##Washington","WA","wa","98115","03/06/1980","${mon}","${conf_mon}"
"Wisconsin","WI","wi","53215","03/06/1980","${mon}","${conf_mon}"
"West Virginia","WV","wv","25302","03/06/1980","${mon}","${conf_mon}"
"Wyoming","WY","wy","82001","03/06/1980","${mon}","${conf_mon}"
