"state","state1","zip","state2","DOB","uri","UW"
"##Alabama","AL","35215","al","03/06/1980","${uri}","${UW}"
"##Alaska","AK","99504","ak","03/06/1980","${uri}","${UW}"
"Arkansas","AR","72209","ar","03/06/1980","${uri}","${UW}"
"Arizona","AZ","85364","az","03/06/1980","${uri}","${UW}"
"##California","CA","90011","ca","03/06/1980","${uri}","${UW}"
"##Colorado","CO","80219","co","03/06/1980","${uri}","${UW}"
"##Connecticut","CT","06606","ct","03/06/1980","${uri}","${UW}"
"Delaware","DE","19805","de","03/06/1980","${uri}","${UW}"
"##District Of Columbia","DC","20015","dc","03/06/1980","${uri}","${UW}"
"Florida","FL","33186","fl","03/06/1980","${uri}","${UW}"
"Georgia","GA","30044","ga","03/06/1980","${uri}","${UW}"
"##Hawaii","HI","96818","hi","03/06/1980","${uri}","${UW}"
"Iowa","IA","50317","ia","03/06/1980","${uri}","${UW}"
"##Idaho","ID","83709","id","03/06/1980","${uri}","${UW}"
"Illinois","IL","60629","il","03/06/1980","${uri}","${UW}"
"##Indiana","IN","46227","in","03/06/1980","${uri}","${UW}"
"##Kansas","KS","66062","ks","03/06/1980","${uri}","${UW}"
"Kentucky","KY","40214","ky","03/06/1980","${uri}","${UW}"
"Louisiana","LA","70816","la","03/06/1980","${uri}","${UW}"
"##Massachusetts","MA","02128","ma","03/06/1980","${uri}","${UW}"
"##Maryland","MD","21215","md","03/06/1980","${uri}","${UW}"
"##Maine","ME","04401","me","03/06/1980","${uri}","${UW}"
"Michigan","MI","48228","mi","03/06/1980","${uri}","${UW}"
"##Minnesota","MN","55106","mn","03/06/1980","${uri}","${UW}"
"##Missouri","MO","63129","mo","03/06/1980","${uri}","${UW}"
"Mississippi","MS","39503","ms","03/06/1980","${uri}","${UW}"
"##Montana","MT","59102","mt","03/06/1980","${uri}","${UW}"
"##North Carolina","NC","28269","nc","03/06/1980","${uri}","${UW}"
"##North Dakota","ND","58103","nd","03/06/1980","${uri}","${UW}"
"Nebraska","NE","68104","ne","03/06/1980","${uri}","${UW}"
"##New Hampshire","NH","03103","nh","03/06/1980","${uri}","${UW}"
"##New Jersey","NJ","08701","nj","03/06/1980","${uri}","${UW}"
"New Mexico","NM","87121","nm","03/06/1980","${uri}","${UW}"
"##Nevada","NV","89110","nv","03/06/1980","${uri}","${UW}"
"##New York","NY","11226","ny","03/06/1980","${uri}","${UW}"
"##Ohio","OH","43228","oh","03/06/1980","${uri}","${UW}"
"Oklahoma","OK","73160","ok","03/06/1980","${uri}","${UW}"
"##Oregon","OR","97229","or","03/06/1980","${uri}","${UW}"
"Pennsylvania","PA","19120","pa","03/06/1980","${uri}","${UW}"
"##Rhode Island","RI","02909","ri","03/06/1980","${uri}","${UW}"
"South Carolina","SC","29223","sc","03/06/1980","${uri}","${UW}"
"##South Dakota","SD","57106","sd","03/06/1980","${uri}","${UW}"
"Tennessee","TN","37013","tn","03/06/1980","${uri}","${UW}"
"##Texas","TX","79936","tx","03/06/1980","${uri}","${UW}"
"##Utah","UT","84120","ut","03/06/1980","${uri}","${UW}"
"Virginia","VA","23464","va","03/06/1980","${uri}","${UW}"
"##Vermont","VT","05401","vt","03/06/1980","${uri}","${UW}"
"##Washington","WA","98115","wa","03/06/1980","${uri}","${UW}"
"Wisconsin","WI","53215","wi","03/06/1980","${uri}","${UW}"
"West Virginia","WV","25302","wv","03/06/1980","${uri}","${UW}"
"Wyoming","WY","82001","wy","03/06/1980","${uri}","${UW}"
