"provider","state","state1","zip","PlanExcepted","DOB","PlanName","uri","Deductible","Coinsurance","MOOP"
"IHC Group","Alabama","AL","35215","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Alaska","AK","99504","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Arkansas","AR","72209","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Arizona","AZ","85364","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","California","CA","90011","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Colorado","CO","80219","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Connecticut","CT","06606","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Delaware","DE","19805","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","District Of Columbia","DC","20015","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Florida","FL","33186","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Georgia","GA","30044","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Hawaii","HI","96818","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Iowa","IA","50317","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Idaho","ID","83709","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Illinois","IL","60629","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Indiana","IN","46227","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Kansas","KS","66062","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Kentucky","KY","40214","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Louisiana","LA","70816","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Massachusetts","MA","02128","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Maryland","MD","21215","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Maine","ME","04401","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Michigan","MI","48228","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Minnesota","MN","55106","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Missouri","MO","63129","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Mississippi","MS","39503","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Montana","MT","59102","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","North Carolina","NC","28269","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","North Dakota","ND","58103","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Nebraska","NE","68104","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","New Hampshire","NH","03103","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","New Jersey","NJ","08701","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","New Mexico","NM","87121","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Nevada","NV","89110","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","New York","NY","11226","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Ohio","OH","43228","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Oklahoma","OK","73160","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Oregon","OR","97229","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Pennsylvania","PA","19120","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Rhode Island","RI","02909","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","South Carolina","SC","29223","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","South Dakota","SD","57106","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Tennessee","TN","37013","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Texas","TX","79936","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Utah","UT","84120","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Virginia","VA","23464","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Vermont","VT","05401","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Washington","WA","98115","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Wisconsin","WI","53215","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","West Virginia","WV","25302","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"IHC Group","Wyoming","WY","82001","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
