"state","zipcode","carrierid","uri","AutoEmail","planUrl"
"##al","35215","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-50-10000-250000"
"##ak","99504","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-10000-20-15000-1000000"
"##ar","72209","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-20-10000-1000000"
"##az","85364","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-2500-50-7500-250000"
"##ca","90011","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"co","80219","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##ct","06606","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-2500-0-2500-1000000"
"##de","19805","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-1000-50-6000-250000"
"##dc","20015","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-1000-20-6000-1000000"
"##fl","33186","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-50-10000-250000"
"ga","30044","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-20-10000-1000000"
"hi","96818","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-20-10000-1000000"
"ia","50317","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##id","83709","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##il","60629","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-2500-20-7500-1000000"
"##in","46227","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-2500-0-2500-1000000"
"ks","66062","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"ky","40214","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"la","70816","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##ma","02128","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-10000-20-15000-1000000"
"md","21215","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"me","04401","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##mi","48228","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##mn","55106","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-2500-20-7500-1000000"
"##mo","63129","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-2500-0-2500-1000000"
"ms","39503","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"mt","59102","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"nc","28269","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"nd","58103","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##ne","68104","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-20-10000-1000000"
"##nh","03103","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-2500-50-7500-250000"
"##nj","08701","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"nm","87121","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##nv","89110","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-2500-0-2500-1000000"
"##ny","11226","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-1000-50-6000-250000"
"oh","43228","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##ok","73160","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-50-10000-250000"
"or","97229","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##pa","19120","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-20-10000-1000000"
"##ri","02909","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-2500-50-7500-250000"
"##sc","29223","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"sd","57106","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##tn","37230","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-2500-0-2500-1000000"
"##tx","79936","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-1000-50-6000-250000"
"ut","84120","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"va","23464","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##vt","05401","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-10000-20-15000-1000000"
"##wa","98115","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-20-10000-1000000"
"wi","53215","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"##wv","25302","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
"wy","82001","nationalgeneral","${uri}","${AutoEmail}","nationalgeneral-${state}-5000-0-5000-1000000"
