"state","zipcode","planid","premium","duration","extendedInfo","uri","status"
"al","35215","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ak","99504","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ar","72209","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"az","85364","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ca","90011","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##CO","80219","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ct","06606","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##de","19805","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"dc","20015","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"fl","33186","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ga","30044","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##hi","96818","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ia","50317","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"id","83709","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"il","60629","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"in","46227","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ks","66062","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ky","40214","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"la","70816","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ma","02128","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##md","21215","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##me","04401","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"mi","48228","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##mn","55106","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"mo","63129","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ms","39503","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##mt","59102","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"nc","28269","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"nd","58103","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ne","68104","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nh","03103","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nj","08701","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nm","87121","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"nv","89110","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ny","11226","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"oh","43228","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ok","73160","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"or","97229","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"pa","19120","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ri","02909","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##sc","29223","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##sd","57106","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"tn","37013","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"tx","79936","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ut","84120","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"va","23464","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##vt","05401","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##wa","98115","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"wi","53215","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"wv","25302","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"wy","82001","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
