"state","zipcode","planid","uri","status","price"
"al","35215","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ak","99504","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ar","72209","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"az","85364","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ca","90011","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"co","80219","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ct","06606","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"de","19805","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"dc","20015","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"fl","33186","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ga","30044","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"hi","96818","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ia","50317","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"id","83709","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"il","60629","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"in","46227","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ks","66062","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ky","40214","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"la","70816","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ma","02128","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"md","21215","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"me","04401","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"mi","48228","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"mn","55106","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"mo","63129","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ms","39503","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"mt","59102","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"nc","28269","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"nd","58103","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ne","68104","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"nh","03103","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"nj","08701","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"nm","87121","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"nv","89110","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ny","11226","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"oh","43228","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ok","73160","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"or","97229","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"pa","19120","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ri","02909","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"sc","29223","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"sd","57106","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"tn","37013","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"tx","79936","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"ut","84120","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"va","23464","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"vt","05401","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"wa","98115","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"wi","53215","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"wv","25302","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
"wy","82001","everest-${state}-5000-30-10000-750000","${uri}","${status}","${price}"
