"state","zipcode","planid","premium","duration","extendedInfo","uri","status"
"al","35215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ak","99504","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ar","72209","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"az","85364","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ca","90011","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"CO","80219","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ct","06606","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"de","19805","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"dc","20015","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"fl","33186","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ga","30044","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##hi","96818","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ia","50317","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##id","83709","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"il","60629","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"in","46227","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ks","66062","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ky","40214","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"la","70816","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ma","02128","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##md","21215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##me","04401","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##mi","48228","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"mn","55106","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##mo","63129","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ms","39503","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##mt","59102","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"nc","28269","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"nd","58103","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ne","68104","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nh","03103","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nj","08701","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nm","87121","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"nv","89110","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ny","11226","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"oh","43228","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ok","73160","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"or","97229","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"pa","19120","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ri","02909","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"sc","29223","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"sd","57106","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"tn","37013","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"tx","79936","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ut","84120","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"va","23464","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##vt","05401","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##wa","98115","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##wi","53215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"wv","25302","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"wy","82001","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
