"state","zipcode","planid","uri","status","price"
"al","35215","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"##ak","99504","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"ar","72209","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"az","85364","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"##ca","90011","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"CO","80219","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"ct","06606","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"##de","19805","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"dc","20015","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"fl","33186","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"ga","30044","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"hi","96818","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"ia","50317","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"id","83709","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"il","60629","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"in","46227","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"ks","66062","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"ky","40214","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"la","70816","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"##ma","02128","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"md","21215","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"me","04401","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"mi","48228","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"##mn","55106","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"mo","63129","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"ms","39503","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"mt","59102","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"nc","28269","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"nd","58103","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"ne","68104","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"##nh","03103","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"##nj","08701","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"nm","87121","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"nv","89110","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"##ny","11226","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"oh","43228","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"ok","73160","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"or","97229","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"pa","19120","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"##ri","02909","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"sc","29223","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"sd","57106","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"tn","37013","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"tx","79936","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"ut","84120","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"va","23464","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"##vt","05401","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"##wa","98115","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"wi","53215","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"wv","25302","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
"wy","82001","nationalgeneral-${state}-5000-50-10000-250000","${uri}","${status}","${price}"
