"state","zipcode","planid","uri","status","price"
"al","35215","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##ak","99504","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"ar","72209","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"az","85364","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##ca","90011","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##CO","80219","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##ct","06606","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##de","19805","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##dc","20015","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"fl","33186","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##ga","30044","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##hi","96818","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"ia","50317","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##id","83709","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"il","60629","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##in","46227","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##ks","66062","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"ky","40214","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##la","70816","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##ma","02128","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##md","21215","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##me","04401","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##mi","48228","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##mn","55106","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"mo","63129","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"ms","39503","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##mt","59102","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"nc","28269","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##nd","58103","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"ne","68104","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##nh","03103","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##nj","08701","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##nm","87121","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"nv","89110","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##ny","11226","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##oh","43228","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"ok","73160","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"or","97229","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##pa","19120","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##ri","02909","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##sc","29223","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##sd","57106","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##tn","37013","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##tx","79936","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##ut","84120","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"va","23464","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##vt","05401","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##wa","98115","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"wi","53215","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"wv","25302","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
"##wy","82001","unitedhealthone-${state}-plus-select-a-5000-20-7000","${uri}","${status}","${price}"
