"provider","state","state1","zip","PlanExcepted","DOB","PlanName","uri","Deductible","Coinsurance","MOOP"
"UnitedHealthOne","Alabama","AL","35215","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Alaska","AK","99504","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Arkansas","AR","72209","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Arizona","AZ","85364","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","California","CA","90011","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Colorado","CO","80219","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Connecticut","CT","06606","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Delaware","DE","19805","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","District Of Columbia","DC","20015","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Florida","FL","33186","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Georgia","GA","30044","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Hawaii","HI","96818","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Iowa","IA","50317","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Idaho","ID","83709","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Illinois","IL","60629","Connect STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Indiana","IN","46227","","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
"UnitedHealthOne","Kansas","KS","66062","Secure STM","03/06/1980","${PlanName}","${uri}","${Deductible}","${Coinsurance}","${MOOP}"
