"state","state1","zipcode","planCount","nationwide","nationalgeneral","usaplus"
"Alabama","AL","35215","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Alaska","AK","99504","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Arkansas","AR","72209","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Arizona","AZ","85364","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"California","CA","90011","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Colorado","CO","80219","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Connecticut","CT","06606","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Delaware","DE","19805","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"District Of Columbia","DC","20015","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Florida","FL","33186","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Georgia","GA","30044","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Hawaii","HI","96818","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Iowa","IA","50317","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Idaho","ID","83709","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Illinois","IL","60629","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Indiana","IN","46227","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Kansas","KS","66062","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Kentucky","KY","40214","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Louisiana","LA","70816","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Massachusetts","MA","02128","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Maryland","MD","21215","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Maine","ME","04401","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Michigan","MI","48228","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Minnesota","MN","55106","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Missouri","MO","63129","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Mississippi","MS","39503","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Montana","MT","59102","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"North Carolina","NC","28269","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"North Dakota","ND","58103","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Nebraska","NE","68104","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"New Hampshire","NH","03103","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"New Jersey","NJ","08701","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"New Mexico","NM","87121","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Nevada","NV","89110","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"New York","NY","11226","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Ohio","OH","43228","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Oklahoma","OK","73160","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Oregon","OR","97229","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Pennsylvania","PA","19120","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Rhode Island","RI","02909","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"South Carolina","SC","29223","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"South Dakota","SD","57106","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Tennessee","TN","37013","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Texas","TX","79936","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Utah","UT","84120","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Virginia","VA","23464","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Vermont","VT","05401","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Washington","WA","98115","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Wisconsin","WI","53215","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"West Virginia","WV","25302","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
"Wyoming","WY","82001","${planCount}","${nationwide}","${nationalgeneral}","${usaplus}"
