"state","state2","zip","DOB","num","Text"
"Alabama","al","35215","03/06/1980","${num}","${Text}"
"Alaska","ak","99504","03/06/1980","${num}","${Text}"
"Arkansas","ar","72209","03/06/1980","${num}","${Text}"
"Arizona","az","85364","03/06/1980","${num}","${Text}"
"California","ca","90011","03/06/1980","${num}","${Text}"
"Colorado","co","80219","03/06/1980","${num}","${Text}"
"Connecticut","ct","06606","03/06/1980","${num}","${Text}"
"Delaware","de","19805","03/06/1980","${num}","${Text}"
"District Of Columbia","dc","20015","03/06/1980","${num}","${Text}"
"Florida","fl","33186","03/06/1980","${num}","${Text}"
"Georgia","ga","30044","03/06/1980","${num}","${Text}"
"Hawaii","hi","96818","03/06/1980","${num}","${Text}"
"Iowa","ia","50317","03/06/1980","${num}","${Text}"
"Idaho","id","83709","03/06/1980","${num}","${Text}"
"Illinois","il","60629","03/06/1980","${num}","${Text}"
"Indiana","in","46227","03/06/1980","${num}","${Text}"
"Kansas","ks","66062","03/06/1980","${num}","${Text}"
"Kentucky","ky","40214","03/06/1980","${num}","${Text}"
"Louisiana","la","70816","03/06/1980","${num}","${Text}"
"Massachusetts","ma","02128","03/06/1980","${num}","${Text}"
"Maryland","md","21215","03/06/1980","${num}","${Text}"
"Maine","me","04401","03/06/1980","${num}","${Text}"
"Michigan","mi","48228","03/06/1980","${num}","${Text}"
"Minnesota","mn","55106","03/06/1980","${num}","${Text}"
"Missonum","mo","63129","03/06/1980","${num}","${Text}"
"Mississippi","ms","39503","03/06/1980","${num}","${Text}"
"Montana","mt","59102","03/06/1980","${num}","${Text}"
"North Carolina","nc","28269","03/06/1980","${num}","${Text}"
"North Dakota","nd","58103","03/06/1980","${num}","${Text}"
"Nebraska","ne","68104","03/06/1980","${num}","${Text}"
"New Hampshire","nh","03103","03/06/1980","${num}","${Text}"
"New Jersey","nj","08701","03/06/1980","${num}","${Text}"
"New Mexico","nm","87121","03/06/1980","${num}","${Text}"
"Nevada","nv","89110","03/06/1980","${num}","${Text}"
"New York","ny","11226","03/06/1980","${num}","${Text}"
"Ohio","oh","43228","03/06/1980","${num}","${Text}"
"Oklahoma","ok","73160","03/06/1980","${num}","${Text}"
"Oregon","or","97229","03/06/1980","${num}","${Text}"
"Pennsylvania","pa","19120","03/06/1980","${num}","${Text}"
"Rhode Island","ri","02909","03/06/1980","${num}","${Text}"
"South Carolina","sc","29223","03/06/1980","${num}","${Text}"
"South Dakota","sd","57106","03/06/1980","${num}","${Text}"
"Tennessee","tn","37013","03/06/1980","${num}","${Text}"
"Texas","tx","79936","03/06/1980","${num}","${Text}"
"Utah","ut","84120","03/06/1980","${num}","${Text}"
"Virginia","va","23464","03/06/1980","${num}","${Text}"
"Vermont","vt","05401","03/06/1980","${num}","${Text}"
"Washington","wa","98115","03/06/1980","${num}","${Text}"
"Wisconsin","wi","53215","03/06/1980","${num}","${Text}"
"West Virginia","wv","25302","03/06/1980","${num}","${Text}"
"Wyoming","wy","82001","03/06/1980","${num}","${Text}"
