"state","planuri","zipcode","plan1","plan2","plan3","plan4"
"al","everest-one-${state}-5000-20-9000-250000","35215","${plan1}","${plan2}","${plan3}","${plan4}"
"##ar","everest-one-${state}-5000-20-9000-250000","72209","${plan1}","${plan2}","${plan3}","${plan4}"
"##az","everest-one-${state}-5000-20-9000-250000","85364","${plan1}","${plan2}","${plan3}","${plan4}"
"##ca","everest-one-${state}-5000-20-9000-250000","90011","${plan1}","${plan2}","${plan3}","${plan4}"
"##co","everest-one-${state}-5000-20-9000-250000","80219","${plan1}","${plan2}","${plan3}","${plan4}"
"##ct","everest-one-${state}-5000-20-9000-250000","06606","${plan1}","${plan2}","${plan3}","${plan4}"
"##de","everest-one-${state}-5000-20-9000-250000","19805","${plan1}","${plan2}","${plan3}","${plan4}"
"##dc","everest-one-${state}-5000-20-9000-250000","20015","${plan1}","${plan2}","${plan3}","${plan4}"
"##fl","everest-one-${state}-5000-20-9000-250000","33186","${plan1}","${plan2}","${plan3}","${plan4}"
"##ga","everest-one-${state}-5000-20-9000-250000","30044","${plan1}","${plan2}","${plan3}","${plan4}"
"##hi","everest-one-${state}-5000-20-9000-250000","96818","${plan1}","${plan2}","${plan3}","${plan4}"
"##ia","everest-one-${state}-5000-20-9000-250000","50317","${plan1}","${plan2}","${plan3}","${plan4}"
"##id","everest-one-${state}-5000-20-9000-250000","83709","${plan1}","${plan2}","${plan3}","${plan4}"
"##il","everest-one-${state}-5000-20-9000-250000","60629","${plan1}","${plan2}","${plan3}","${plan4}"
"##in","everest-one-${state}-5000-20-9000-250000","46227","${plan1}","${plan2}","${plan3}","${plan4}"
"##ks","everest-one-${state}-5000-20-9000-250000","66062","${plan1}","${plan2}","${plan3}","${plan4}"
"##ky","everest-one-${state}-5000-20-9000-250000","40214","${plan1}","${plan2}","${plan3}","${plan4}"
"##la","everest-one-${state}-5000-20-9000-250000","70816","${plan1}","${plan2}","${plan3}","${plan4}"
"##ma","everest-one-${state}-5000-20-9000-250000","02128","${plan1}","${plan2}","${plan3}","${plan4}"
"##md","everest-one-${state}-5000-20-9000-250000","21215","${plan1}","${plan2}","${plan3}","${plan4}"
"##me","everest-one-${state}-5000-20-9000-250000","04401","${plan1}","${plan2}","${plan3}","${plan4}"
"##mi","everest-one-${state}-5000-20-9000-250000","48228","${plan1}","${plan2}","${plan3}","${plan4}"
"##mn","everest-one-${state}-5000-20-9000-250000","55106","${plan1}","${plan2}","${plan3}","${plan4}"
"##mo","everest-one-${state}-5000-20-9000-250000","63129","${plan1}","${plan2}","${plan3}","${plan4}"
"##ms","everest-one-${state}-5000-20-9000-250000","39503","${plan1}","${plan2}","${plan3}","${plan4}"
"##mt","everest-one-${state}-5000-20-9000-250000","59102","${plan1}","${plan2}","${plan3}","${plan4}"
"##nc","everest-one-${state}-5000-20-9000-250000","28269","${plan1}","${plan2}","${plan3}","${plan4}"
"##nd","everest-one-${state}-5000-20-9000-250000","58103","${plan1}","${plan2}","${plan3}","${plan4}"
"##ne","everest-one-${state}-5000-20-9000-250000","68104","${plan1}","${plan2}","${plan3}","${plan4}"
"##nh","everest-one-${state}-5000-20-9000-250000","03103","${plan1}","${plan2}","${plan3}","${plan4}"
"##nj","everest-one-${state}-5000-20-9000-250000","8701","${plan1}","${plan2}","${plan3}","${plan4}"
"##nm","everest-one-${state}-5000-20-9000-250000","87121","${plan1}","${plan2}","${plan3}","${plan4}"
"##nv","everest-one-${state}-5000-20-9000-250000","89110","${plan1}","${plan2}","${plan3}","${plan4}"
"##oh","everest-one-${state}-5000-20-9000-250000","43228","${plan1}","${plan2}","${plan3}","${plan4}"
"##ok","everest-one-${state}-5000-20-9000-250000","73160","${plan1}","${plan2}","${plan3}","${plan4}"
"##or","everest-one-${state}-5000-20-9000-250000","97229","${plan1}","${plan2}","${plan3}","${plan4}"
"##pa","everest-one-${state}-5000-20-9000-250000","19120","${plan1}","${plan2}","${plan3}","${plan4}"
"##ri","everest-one-${state}-5000-20-9000-250000","02909","${plan1}","${plan2}","${plan3}","${plan4}"
"##sc","everest-one-${state}-5000-20-9000-250000","29223","${plan1}","${plan2}","${plan3}","${plan4}"
"##sd","everest-one-${state}-5000-20-9000-250000","57106","${plan1}","${plan2}","${plan3}","${plan4}"
"##tn","everest-one-${state}-5000-20-9000-250000","37230","${plan1}","${plan2}","${plan3}","${plan4}"
"##tx","everest-one-${state}-5000-20-9000-250000","79936","${plan1}","${plan2}","${plan3}","${plan4}"
"##va","everest-one-${state}-5000-20-9000-250000","23464","${plan1}","${plan2}","${plan3}","${plan4}"
"##wa","everest-one-${state}-5000-20-9000-250000","98115","${plan1}","${plan2}","${plan3}","${plan4}"
"##wi","everest-one-${state}-5000-20-9000-250000","53215","${plan1}","${plan2}","${plan3}","${plan4}"
"##wv","everest-one-${state}-5000-20-9000-250000","25302","${plan1}","${plan2}","${plan3}","${plan4}"
"##wy","everest-one-${state}-5000-20-9000-250000","82001","${plan1}","${plan2}","${plan3}","${plan4}"
