"state","state1","zipcode","planCount","cardinalchoice","legion","coreshield","agileone","slaicohbi","agilesecure"
"Alabama","AL","35215","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Alaska","AK","99504","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Arkansas","AR","72209","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Arizona","AZ","85364","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"California","CA","90011","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Colorado","CO","80219","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Connecticut","CT","06606","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Delaware","DE","19805","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"District Of Columbia","DC","20015","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Florida","FL","33186","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Georgia","GA","30044","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Hawaii","HI","96818","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Iowa","IA","50317","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Idaho","ID","83709","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Illinois","IL","60629","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Indiana","IN","46227","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Kansas","KS","66062","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Kentucky","KY","40214","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Louisiana","LA","70816","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Massachusetts","MA","02128","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Maryland","MD","21215","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Maine","ME","04401","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Michigan","MI","48228","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Minnesota","MN","55106","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Missouri","MO","63129","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Mississippi","MS","39503","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Montana","MT","59102","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"North Carolina","NC","28269","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"North Dakota","ND","58103","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Nebraska","NE","68104","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"New Hampshire","NH","03103","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"New Jersey","NJ","08701","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"New Mexico","NM","87121","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
"Nevada","NV","89110","${planCount}","${cardinalchoice}","${legion}","${coreshield}","${agileone}","${slaicohbi}","${agilesecure}"
