"provider","state","state1","Enable","zipcode","Total"
"Everest","Alabama","AL","Y","35215","${num}"
"##Everest","Alaska","AK","N","99504","${num}"
"##Everest","Arkansas","AR","Y","72209","${num}"
"##Everest","Arizona","AZ","Y","85364","${num}"
"##Everest","California","CA","N","90011","${num}"
"Everest","Colorado","CO","Y","80219","${num}"
"##Everest","Connecticut","CT","N","06606","${num}"
"Everest","Delaware","DE","Y","19805","${num}"
"Everest","District Of Columbia","DC","Y","20015","${num}"
"##Everest","Florida","FL","Y","33186","${num}"
"##Everest","Georgia","GA","Y","30044","${num}"
"##Everest","Hawaii","HI","N","96818","${num}"
"##Everest","Iowa","IA","Y","50317","${num}"
"Everest","Idaho","ID","Y","83709","${num}"
"##Everest","Illinois","IL","Y","60629","${num}"
"##Everest","Indiana","IN","Y","46227","${num}"
"##Everest","Kansas","KS","N","66062","${num}"
"##Everest","Kentucky","KY","Y","40214","${num}"
"##Everest","Louisiana","LA","Y","70816","${num}"
"##Everest","Massachusetts","MA","N","02128","${num}"
"##Everest","Maryland","MD","N","21215","${num}"
"Everest","Maine","ME","N","04401","${num}"
"##Everest","Michigan","MI","N","48228","${num}"
"##Everest","Minnesota","MN","Y","55106","${num}"
"##Everest","Missouri","MO","Y","63129","${num}"
"##Everest","Mississippi","MS","Y","39503","${num}"
"##Everest","Montana","MT","N","59102","${num}"
"##Everest","North Carolina","NC","Y","28269","${num}"
"##Everest","North Dakota","ND","Y","58103","${num}"
"##Everest","Nebraska","NE","Y","68104","${num}"
"Everest","New Hampshire","NH","Y","03103","${num}"
"##Everest","New Jersey","NJ","N","08701","${num}"
"##Everest","New Mexico","NM","N","87121","${num}"
"##Everest","Nevada","NV","Y","89110","${num}"
"##Everest","New York","NY","N","11226","${num}"
"##Everest","Ohio","OH","Y","43228","${num}"
"##Everest","Oklahoma","OK","Y","73160","${num}"
"Everest","Oregon","OR","Y","97229","${num}"
"##Everest","Pennsylvania","PA","Y","19120","${num}"
"##Everest","Rhode Island","RI","N","02909","${num}"
"##Everest","South Carolina","SC","Y","29223","${num}"
"Everest","South Dakota","SD","Y","57106","${num}"
"##Everest","Tennessee","TN","Y","37013","${num}"
"##Everest","Texas","TX","Y","79936","${num}"
"##Everest","Utah","UT","N","84120","${num}"
"##Everest","Virginia","VA","Y","23464","${num}"
"##Everest","Vermont","VT","N","05401","${num}"
"Everest","Washington","WA","Y","98115","${num}"
"Everest","Wisconsin","WI","Y","53215","${num}"
"Everest","West Virginia","WV","Y","25302","${num}"
"##Everest","Wyoming","WY","Y","82001","${num}"
