"provider","state","state1","zipcode","Total"
"Standard Life","Alabama","AL","35215","${num}"
"##Standard Life","Alaska","AK","99504","${num}"
"Standard Life","Arkansas","AR","72209","${num}"
"Standard Life","Arizona","AZ","85364","${num}"
"##Standard Life","California","CA","90011","${num}"
"##Standard Life","Colorado","CO","80219","${num}"
"##Standard Life","Connecticut","CT","06606","${num}"
"Standard Life","Delaware","DE","19805","${num}"
"Standard Life","District Of Columbia","DC","20015","${num}"
"Standard Life","Florida","FL","33186","${num}"
"Standard Life","Georgia","GA","30044","${num}"
"##Standard Life","Hawaii","HI","96818","${num}"
"Standard Life","Iowa","IA","50317","${num}"
"Standard Life","Idaho","ID","83709","${num}"
"Standard Life","Illinois","IL","60629","${num}"
"Standard Life","Indiana","IN","46227","${num}"
"##Standard Life","Kansas","KS","66062","${num}"
"Standard Life","Kentucky","KY","40214","${num}"
"Standard Life","Louisiana","LA","70816","${num}"
"##Standard Life","Massachusetts","MA","02128","${num}"
"##Standard Life","Maryland","MD","21215","${num}"
"##Standard Life","Maine","ME","04401","${num}"
"##Standard Life","Michigan","MI","48228","${num}"
"##Standard Life","Minnesota","MN","55106","${num}"
"##Standard Life","Missouri","MO","63129","${num}"
"Standard Life","Mississippi","MS","39503","${num}"
"##Standard Life","Montana","MT","59102","${num}"
"##Standard Life","North Carolina","NC","28269","${num}"
"Standard Life","North Dakota","ND","58103","${num}"
"Standard Life","Nebraska","NE","68104","${num}"
"##Standard Life","New Hampshire","NH","03103","${num}"
"##Standard Life","New Jersey","NJ","08701","${num}"
"##Standard Life","New Mexico","NM","87121","${num}"
"Standard Life","Nevada","NV","89110","${num}"
"##Standard Life","New York","NY","11226","${num}"
"Standard Life","Ohio","OH","43228","${num}"
"Standard Life","Oklahoma","OK","73160","${num}"
"Standard Life","Oregon","OR","97229","${num}"
"Standard Life","Pennsylvania","PA","19120","${num}"
"##Standard Life","Rhode Island","RI","02909","${num}"
"Standard Life","South Carolina","SC","29223","${num}"
"##Standard Life","South Dakota","SD","57106","${num}"
"Standard Life","Tennessee","TN","37013","${num}"
"Standard Life","Texas","TX","79936","${num}"
"##Standard Life","Utah","UT","84120","${num}"
"Standard Life","Virginia","VA","23464","${num}"
"##Standard Life","Vermont","VT","05401","${num}"
"##Standard Life","Washington","WA","98115","${num}"
"##Standard Life","Wisconsin","WI","53215","${num}"
"Standard Life","West Virginia","WV","25302","${num}"
"Standard Life","Wyoming","WY","82001","${num}"
