"provider","state","state1","zipcode","Total"
"UnitedHealthcare","Alabama","AL","35215","${num}"
"UnitedHealthcare","Alaska","AK","99504","${num}"
"UnitedHealthcare","Arkansas","AR","72209","${num}"
"UnitedHealthcare","Arizona","AZ","85364","${num}"
"UnitedHealthcare","California","CA","90011","${num}"
"UnitedHealthcare","Colorado","CO","80219","${num}"
"UnitedHealthcare","Connecticut","CT","06606","${num}"
"UnitedHealthcare","Delaware","DE","19805","${num}"
"UnitedHealthcare","District Of Columbia","DC","20015","${num}"
"UnitedHealthcare","Florida","FL","33186","${num}"
"UnitedHealthcare","Georgia","GA","30044","${num}"
"UnitedHealthcare","Hawaii","HI","96818","${num}"
"UnitedHealthcare","Iowa","IA","50317","${num}"
"UnitedHealthcare","Idaho","ID","83709","${num}"
"UnitedHealthcare","Illinois","IL","60629","${num}"
"UnitedHealthcare","Indiana","IN","46227","${num}"
"UnitedHealthcare","Kansas","KS","66062","${num}"
"UnitedHealthcare","Kentucky","KY","40214","${num}"
"UnitedHealthcare","Louisiana","LA","70816","${num}"
"UnitedHealthcare","Massachusetts","MA","02128","${num}"
"UnitedHealthcare","Maryland","MD","21215","${num}"
"UnitedHealthcare","Maine","ME","04401","${num}"
"UnitedHealthcare","Michigan","MI","48228","${num}"
"UnitedHealthcare","Minnesota","MN","55106","${num}"
"UnitedHealthcare","Missouri","MO","63129","${num}"
"UnitedHealthcare","Mississippi","MS","39503","${num}"
"UnitedHealthcare","Montana","MT","59102","${num}"
"UnitedHealthcare","North Carolina","NC","28269","${num}"
"UnitedHealthcare","North Dakota","ND","58103","${num}"
"UnitedHealthcare","Nebraska","NE","68104","${num}"
"UnitedHealthcare","New Hampshire","NH","03103","${num}"
"UnitedHealthcare","New Jersey","NJ","08701","${num}"
"UnitedHealthcare","New Mexico","NM","87121","${num}"
"UnitedHealthcare","Nevada","NV","89110","${num}"
"UnitedHealthcare","New York","NY","11226","${num}"
"UnitedHealthcare","Ohio","OH","43228","${num}"
"UnitedHealthcare","Oklahoma","OK","73160","${num}"
"UnitedHealthcare","Oregon","OR","97229","${num}"
"UnitedHealthcare","Pennsylvania","PA","19120","${num}"
"UnitedHealthcare","Rhode Island","RI","02909","${num}"
"UnitedHealthcare","South Carolina","SC","29223","${num}"
"UnitedHealthcare","South Dakota","SD","57106","${num}"
"UnitedHealthcare","Tennessee","TN","37013","${num}"
"UnitedHealthcare","Texas","TX","79936","${num}"
"UnitedHealthcare","Utah","UT","84120","${num}"
"UnitedHealthcare","Virginia","VA","23464","${num}"
"UnitedHealthcare","Vermont","VT","05401","${num}"
"UnitedHealthcare","Washington","WA","98115","${num}"
"UnitedHealthcare","Wisconsin","WI","53215","${num}"
"UnitedHealthcare","West Virginia","WV","25302","${num}"
"UnitedHealthcare","Wyoming","WY","82001","${num}"
