"provider","state","state1","zipcode","Total","over6","upTo6","Max Duration"
"Standard Life","Alabama","AL","35215","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Alaska","AK","99504","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Arkansas","AR","72209","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Arizona","AZ","85364","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","California","CA","90011","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Colorado","CO","80219","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Connecticut","CT","06606","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Delaware","DE","19805","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","District Of Columbia","DC","20015","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Florida","FL","33186","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Georgia","GA","30044","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Hawaii","HI","96818","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Iowa","IA","50317","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Idaho","ID","83709","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Illinois","IL","60629","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Indiana","IN","46227","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Kansas","KS","66062","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Kentucky","KY","40214","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Louisiana","LA","70816","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Massachusetts","MA","02128","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Maryland","MD","21215","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Maine","ME","04401","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Michigan","MI","48228","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Minnesota","MN","55106","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Missouri","MO","63129","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Mississippi","MS","39503","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Montana","MT","59102","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","North Carolina","NC","28269","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","North Dakota","ND","58103","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Nebraska","NE","68104","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","New Hampshire","NH","03103","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","New Jersey","NJ","08701","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","New Mexico","NM","87121","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Nevada","NV","89110","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","New York","NY","11226","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Ohio","OH","43228","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Oklahoma","OK","73160","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Oregon","OR","97229","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Pennsylvania","PA","19120","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Rhode Island","RI","02909","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","South Carolina","SC","29223","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","South Dakota","SD","57106","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Tennessee","TN","37013","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Texas","TX","79936","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Utah","UT","84120","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Virginia","VA","23464","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Vermont","VT","05401","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Washington","WA","98115","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Wisconsin","WI","53215","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","West Virginia","WV","25302","${num}","${over6}","${upTo6}","${maxDuration}"
"Standard Life","Wyoming","WY","82001","${num}","${over6}","${upTo6}","${maxDuration}"
