"state","state1","zip","DOB","planname","quote_P","apply_P","confirm_P"
"Alabama","AL","35215","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Alabama","AL","36310","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Alabama","AL","36310","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Alabama","AL","36310","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Alabama","AL","36310","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Alabama","AL","36310","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Alaska","AK","99504","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Alaska","AK","99504","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Alaska","AK","99504","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Alaska","AK","99504","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Alaska","AK","99504","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Alaska","AK","99504","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Arkansas","AR","72209","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Arkansas","AR","71820","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Arkansas","AR","71820","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Arkansas","AR","71820","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Arkansas","AR","71820","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Arkansas","AR","72134","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Arizona","AZ","85364","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Arizona","AZ","85364","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Arizona","AZ","85364","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Arizona","AZ","85364","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Arizona","AZ","85364","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Arizona","AZ","85364","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"California","CA","90011","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"California","CA","91301","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"California","CA","93064","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"California","CA","93117","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"California","CA","96161","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"California","CA","96161","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Colorado","CO","80219","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Colorado","CO","80219","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Colorado","CO","80219","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Colorado","CO","80219","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Colorado","CO","80219","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Colorado","CO","80219","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Connecticut","CT","06606","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Connecticut","CT","06606","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Connecticut","CT","06606","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Connecticut","CT","06606","03/06/1985","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Connecticut","CT","06606","03/06/1985","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Connecticut","CT","06606","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Delaware","DE","19805","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Delaware","DE","19805","03/06/1986","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Delaware","DE","19805","03/06/1987","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Delaware","DE","19805","03/06/1988","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"Delaware","DE","19805","03/06/1989","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Delaware","DE","19805","03/06/1985","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"District Of Columbia","DC","20015","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"District Of Columbia","DC","20015","03/06/1986","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"District Of Columbia","DC","20015","03/06/1987","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"District Of Columbia","DC","20015","03/06/1988","Foundation Dental - Guardian","${quote_P}","${apply_P}","${review_P}"
"District Of Columbia","DC","20015","03/06/1989","Foundation Dental - Defender and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"District Of Columbia","DC","20015","03/06/1990","Foundation Dental - Guardian and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
"Florida","FL","33186","03/06/1985","Foundation Dental - Protector I","${quote_P}","${apply_P}","${review_P}"
"Florida","FL","33336","03/06/1985","Foundation Dental - Defender","${quote_P}","${apply_P}","${review_P}"
"Florida","FL","32080","03/06/1985","Foundation Dental - Protector I and Foundation Vision","${quote_P}","${apply_P}","${review_P}"
