"state","state1","zipcode","teladoc"
"Alabama","AL","35215","${teladoc}"
"Alaska","AK","99504","${teladoc}"
"Arkansas","AR","72209","${teladoc}"
"Arizona","AZ","85364","${teladoc}"
"California","CA","90011","${teladoc}"
"Colorado","CO","80219","${teladoc}"
"Connecticut","CT","06606","${teladoc}"
"Delaware","DE","19805","${teladoc}"
"District Of Columbia","DC","20015","${teladoc}"
"Florida","FL","33186","${teladoc}"
"Georgia","GA","30044","${teladoc}"
"Hawaii","HI","96818","${teladoc}"
"Iowa","IA","50317","${teladoc}"
"Idaho","ID","83709","${teladoc}"
"Illinois","IL","60629","${teladoc}"
"Indiana","IN","46227","${teladoc}"
"Kansas","KS","66062","${teladoc}"
"Kentucky","KY","40214","${teladoc}"
"Louisiana","LA","70816","${teladoc}"
"Massachusetts","MA","02128","${teladoc}"
"Maryland","MD","21215","${teladoc}"
"Maine","ME","04401","${teladoc}"
"Michigan","MI","48228","${teladoc}"
"Minnesota","MN","55106","${teladoc}"
"Missouri","MO","63129","${teladoc}"
"Mississippi","MS","39503","${teladoc}"
"Montana","MT","59102","${teladoc}"
"North Carolina","NC","28269","${teladoc}"
"North Dakota","ND","58103","${teladoc}"
"Nebraska","NE","68104","${teladoc}"
"New Hampshire","NH","03103","${teladoc}"
"New Jersey","NJ","08701","${teladoc}"
"New Mexico","NM","87121","${teladoc}"
"Nevada","NV","89110","${teladoc}"
"New York","NY","11226","${teladoc}"
"Ohio","OH","43228","${teladoc}"
"Oklahoma","OK","73160","${teladoc}"
"Oregon","OR","97229","${teladoc}"
"Pennsylvania","PA","19120","${teladoc}"
"Rhode Island","RI","02909","${teladoc}"
"South Carolina","SC","29223","${teladoc}"
"South Dakota","SD","57106","${teladoc}"
"Tennessee","TN","37013","${teladoc}"
"Texas","TX","79936","${teladoc}"
"Utah","UT","84120","${teladoc}"
"Virginia","VA","23464","${teladoc}"
"Vermont","VT","05401","${teladoc}"
"Washington","WA","98115","${teladoc}"
"Wisconsin","WI","53215","${teladoc}"
"West Virginia","WV","25302","${teladoc}"
"Wyoming","WY","82001","${teladoc}"
