"state","zipcode","planid","premium","duration","extendedInfo","prexPrice","dentalPrice","teladocPrice","uri","status"
"al","35215","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##ak","99504","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"ar","72209","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"az","85364","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##ca","90011","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##co","80219","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##ct","06606","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##de","19805","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##dc","20015","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"fl","33186","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"ga","30044","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##hi","96818","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##ia","50317","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##id","83709","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"il","60629","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"in","46227","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##ks","66062","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"ky","40214","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"la","70816","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##ma","02128","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##md","21215","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##me","04401","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##mi","48228","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##mn","55106","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"mo","63129","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"ms","39503","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##mt","59102","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"nc","28269","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##nd","58103","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##ne","68104","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##nh","03103","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##nj","08701","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##nm","87121","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"nv","89110","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##ny","11226","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##oh","43228","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"ok","73160","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##or","97229","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"pa","19120","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##ri","02909","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"sc","29223","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"sd","57106","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"tn","37013","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"tx","79936","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##ut","84120","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##va","23464","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##vt","05401","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##wa","98115","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##wi","53215","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"wv","25302","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
"##wy","82001","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${prexPrice}","${dentalPrice}","${teladocPrice}","${uri}","${status}"
