"state","zipcode","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice"
"al","35215","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##ak","99504","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"ar","72209","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"az","85364","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##ca","90011","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##co","80219","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##ct","06606","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##de","19805","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##dc","20015","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##fl","33186","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"ga","30044","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##hi","96818","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##ia","50317","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##id","83709","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##il","60629","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##in","46227","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##ks","66062","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"ky","40214","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##la","70816","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##ma","02128","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##md","21215","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##me","04401","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##mi","48228","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##mn","55106","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##mo","63129","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"ms","39503","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##mt","59102","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"nc","28269","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##nd","58103","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"ne","68104","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##nh","03103","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##nj","08701","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##nm","87121","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"nv","89110","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##ny","11226","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"oh","43228","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"ok","73160","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##or","97229","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##pa","19120","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##ri","02909","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##sc","29223","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##sd","57106","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##tn","37013","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"tx","79936","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##ut","84120","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##va","23464","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##vt","05401","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##wa","98115","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"wi","53215","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##wv","25302","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
"##wy","82001","${premium}","${duration}","${extendedInfo}","${uri}","${status}","advanthealth","${finalPrice}"
