"state","zipcode","planid","premium","duration","extendedInfo","uri","status","finalPrice"
"al","35215","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ak","99504","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ar","72209","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"az","85364","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ca","90011","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##CO","80219","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ct","06606","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##de","19805","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##dc","20015","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"fl","33186","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ga","30044","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##hi","96818","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ia","50317","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##id","83709","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"il","60629","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"in","46227","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ks","66062","pivot-health-choice-${state}-5000-20","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
