"state","zipcode","premium","duration","extendedInfo","uri","status","finalPrice"
"al","35215","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ak","99504","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ar","72209","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"az","85364","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ca","90011","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##co","80219","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ct","06606","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##de","19805","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##dc","20015","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"fl","33186","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ga","30044","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##hi","96818","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ia","50317","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"id","83709","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"il","60629","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"in","46227","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ks","66062","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ky","40214","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"la","70816","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ma","02128","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##md","21215","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##me","04401","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##mi","48228","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"mn","55106","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"mo","63129","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ms","39503","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##mt","59102","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"nc","28269","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nd","58103","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ne","68104","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"nh","03103","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nj","8701","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nm","87121","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nv","89110","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ny","11226","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"oh","43228","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ok","73160","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"or","97229","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"pa","19120","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ri","02909","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"sc","29223","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"sd","57106","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"tn","37013","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"tx","79936","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ut","84120","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##va","23464","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##vt","05401","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##wa","98115","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"wi","53215","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"wv","25302","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"wy","82001","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
