"state","zipcode","planid","premium","duration","extendedInfo","uri","status","finalPrice"
"##al","35215","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ak","99504","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ar","72209","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##az","85364","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ca","90011","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"co","80219","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ct","06606","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##de","19805","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"dc","20015","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##fl","33186","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ga","30044","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##hi","96818","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ia","50317","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"id","83709","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##il","60629","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##in","46227","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ks","66062","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ky","40214","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##la","70816","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ma","02128","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##md","21215","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"me","04401","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##mi","48228","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"mn","55106","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##mo","63129","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ms","39503","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##mt","59102","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nc","28269","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nd","58103","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ne","68104","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"nh","03103","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nj","08701","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nm","87121","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nv","89110","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ny","11226","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##oh","43228","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ok","73160","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"or","97229","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##pa","19120","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ri","02909","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##sc","29223","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"sd","57106","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##tn","37013","everest-${state}-5000-30-10000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
