"state","zipcode","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice"
"al","35215","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ak","99504","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"ar","72209","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"az","85364","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ca","90011","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##co","80219","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ct","06606","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##de","19805","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##dc","20015","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"fl","33186","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"ga","30044","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##hi","96818","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ia","50317","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##id","83709","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"il","60629","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"in","46227","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ks","66062","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"ky","40214","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"la","70816","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ma","02128","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##md","21215","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##me","04401","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##mi","48228","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##mn","55106","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"mo","63129","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"ms","39503","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##mt","59102","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"nc","28269","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##nd","58103","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ne","68104","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##nh","03103","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##nj","08701","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##nm","87121","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"nv","89110","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ny","11226","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##oh","43228","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"ok","73160","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##or","97229","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"pa","19120","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ri","02909","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"sc","29223","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"sd","57106","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"tn","37013","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"tx","79936","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ut","84120","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##va","23464","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##vt","05401","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##wa","98115","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##wi","53215","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"wv","25302","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##wy","82001","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
