"state","zipcode","planid","premium","duration","extendedInfo","uri","finalPrice","status"
"al","35215","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##ak","99504","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ar","72209","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"az","85364","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##ca","90011","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"co","80219","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##ct","06606","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##de","19805","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##dc","20015","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"fl","33186","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ga","30044","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##hi","96818","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ia","50317","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"id","83709","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"il","60629","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##in","46227","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ks","66062","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ky","40214","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"la","70816","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##ma","02128","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"md","21215","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"me","04401","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##mi","48228","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##mn","55106","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"mo","63129","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ms","39503","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"mt","59102","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"nc","28269","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"nd","58103","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ne","68104","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##nh","03103","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##nj","08701","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"nm","87121","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"nv","89110","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##ny","11226","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"oh","43228","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ok","73160","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"or","97229","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##pa","19120","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##ri","02909","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"sc","29223","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"sd","57106","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
