"state","zipcode","plan name","premium","duration","extendedInfo","uri","status","finalPrice"
"al","35215","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ak","99504","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ar","72209","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##az","85364","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ca","90011","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##co","80219","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ct","06606","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##de","19805","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##dc","20015","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"fl","33186","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ga","30044","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##hi","96818","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ia","50317","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"id","83709","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"il","60629","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"in","46227","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ks","66062","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ky","40214","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##la","70816","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ma","02128","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##md","21215","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##me","04401","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##mi","48228","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"mn","55106","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##mo","63129","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ms","39503","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##mt","59102","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"nc","28269","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nd","58103","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"ne","68104","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"nh","03103","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nj","08701","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nm","87121","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##nv","89110","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ny","11226","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"oh","43228","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ok","73160","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"or","97229","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"pa","19120","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ri","02909","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"sc","29223","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##sd","57106","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"tn","37013","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"tx","79936","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##ut","84120","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##va","23464","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##vt","05401","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"##wa","98115","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"wi","53215","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"wv","25302","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
"wy","82001","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","${finalPrice}"
