"state","zipcode","plan name","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice"
"al","35215","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ak","99504","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"ar","72209","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"az","85364","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ca","90011","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##co","80219","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ct","06606","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##de","19805","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##dc","20015","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"fl","33186","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"ga","30044","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##hi","96818","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ia","50317","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##id","83709","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"il","60629","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"in","46227","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ks","66062","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"ky","40214","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"la","70816","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ma","02128","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##md","21215","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##me","04401","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##mi","48228","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##mn","55106","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"mo","63129","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"ms","39503","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##mt","59102","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"nc","28269","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##nd","58103","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ne","68104","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##nh","03103","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##nj","08701","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##nm","87121","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"nv","89110","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ny","11226","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##oh","43228","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"ok","73160","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##or","97229","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"pa","19120","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ri","02909","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"sc","29223","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"sd","57106","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"tn","37013","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"tx","79936","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ut","84120","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##va","23464","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##vt","05401","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##wa","98115","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##wi","53215","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"wv","25302","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##wy","82001","${planname}","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
