"state","zipcode","premium","duration","extendedInfo","uri","finalPrice","status"
"al","35215","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##ak","99504","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ar","72209","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"az","85364","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##ca","90011","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##co","80219","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##ct","06606","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##de","19805","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"dc","20015","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"fl","33186","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ga","30044","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##hi","96818","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ia","50317","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##id","83709","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"il","60629","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"in","46227","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ks","66062","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ky","40214","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"la","70816","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##ma","02128","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"md","21215","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"me","04401","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"mi","48228","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##mn","55106","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"mo","63129","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ms","39503","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"mt","59102","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"nc","28269","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##nd","58103","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ne","68104","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##nh","03103","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##nj","08701","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##nm","87121","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"nv","89110","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##ny","11226","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"oh","43228","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ok","73160","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"or","97229","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##pa","19120","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##ri","02909","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"sc","29223","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"sd","57106","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"tn","37013","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"tx","79936","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"ut","84120","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"va","23464","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##vt","05401","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"##wa","98115","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"wi","53215","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"wv","25302","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
"wy","82001","${premium}","${duration}","${extendedInfo}","${uri}","${finalPrice}","${status}"
