"state","zipcode","planid","premium","duration","extendedInfo","uri","status"
"al","35215","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ak","99504","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ar","72209","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##az","85364","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ca","90011","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##co","80219","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ct","06606","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##de","19805","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##dc","20015","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##fl","33186","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ga","30044","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##hi","96818","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ia","50317","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##id","83709","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"il","60629","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##in","46227","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ks","66062","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ky","40214","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##la","70816","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ma","02128","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##md","21215","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##me","04401","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##mi","48228","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##mn","55106","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"mo","63129","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"ms","39503","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##mt","59102","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"nc","28269","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nd","58103","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##ne","68104","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nh","03103","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nj","08701","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
"##nm","87121","unitedhealthone-${state}-plus-select-a-5000-20-7000","${premium}","${duration}","${extendedInfo}","${uri}","${status}"
