"state","state1","zipcode","planCount","pivotcompanion"
"Alabama","AL","35215","${planCount}","${pivotcompanion}"
"##Alaska","AK","99504","${planCount}","${pivotcompanion}"
"Arkansas","AR","72209","${planCount}","${pivotcompanion}"
"Arizona","AZ","85364","${planCount}","${pivotcompanion}"
"##California","CA","90011","${planCount}","${pivotcompanion}"
"Colorado","CO","80219","${planCount}","${pivotcompanion}"
"Connecticut","CT","06606","${planCount}","${pivotcompanion}"
"Delaware","DE","19805","${planCount}","${pivotcompanion}"
"District Of Columbia","DC","20015","${planCount}","${pivotcompanion}"
"Florida","FL","33186","${planCount}","${pivotcompanion}"
"Georgia","GA","30044","${planCount}","${pivotcompanion}"
"Hawaii","HI","96818","${planCount}","${pivotcompanion}"
"Iowa","IA","50317","${planCount}","${pivotcompanion}"
"Idaho","ID","83709","${planCount}","${pivotcompanion}"
"Illinois","IL","60629","${planCount}","${pivotcompanion}"
"Indiana","IN","46227","${planCount}","${pivotcompanion}"
"Kansas","KS","66062","${planCount}","${pivotcompanion}"
"Kentucky","KY","40214","${planCount}","${pivotcompanion}"
"Louisiana","LA","70816","${planCount}","${pivotcompanion}"
"##Massachusetts","MA","02128","${planCount}","${pivotcompanion}"
"Maryland","MD","21215","${planCount}","${pivotcompanion}"
"Maine","ME","04401","${planCount}","${pivotcompanion}"
"Michigan","MI","48228","${planCount}","${pivotcompanion}"
"Minnesota","MN","55106","${planCount}","${pivotcompanion}"
"Missouri","MO","63129","${planCount}","${pivotcompanion}"
"Mississippi","MS","39503","${planCount}","${pivotcompanion}"
"Montana","MT","59102","${planCount}","${pivotcompanion}"
"North Carolina","NC","28269","${planCount}","${pivotcompanion}"
"North Dakota","ND","58103","${planCount}","${pivotcompanion}"
"Nebraska","NE","68104","${planCount}","${pivotcompanion}"
"New Hampshire","NH","03103","${planCount}","${pivotcompanion}"
"##New Jersey","NJ","08701","${planCount}","${pivotcompanion}"
"New Mexico","NM","87121","${planCount}","${pivotcompanion}"
"Nevada","NV","89110","${planCount}","${pivotcompanion}"
"##New York","NY","11226","${planCount}","${pivotcompanion}"
"Ohio","OH","43228","${planCount}","${pivotcompanion}"
"Oklahoma","OK","73160","${planCount}","${pivotcompanion}"
"Oregon","OR","97229","${planCount}","${pivotcompanion}"
"Pennsylvania","PA","19120","${planCount}","${pivotcompanion}"
"##Rhode Island","RI","02909","${planCount}","${pivotcompanion}"
"South Carolina","SC","29223","${planCount}","${pivotcompanion}"
"South Dakota","SD","57106","${planCount}","${pivotcompanion}"
"Tennessee","TN","37013","${planCount}","${pivotcompanion}"
"Texas","TX","79936","${planCount}","${pivotcompanion}"
"Utah","UT","84120","${planCount}","${pivotcompanion}"
"Virginia","VA","23464","${planCount}","${pivotcompanion}"
"##Vermont","VT","05401","${planCount}","${pivotcompanion}"
"##Washington","WA","98115","${planCount}","${pivotcompanion}"
"Wisconsin","WI","53215","${planCount}","${pivotcompanion}"
"West Virginia","WV","25302","${planCount}","${pivotcompanion}"
"Wyoming","WY","82001","${planCount}","${pivotcompanion}"
