"state","zipcode","planid","premium","total","duration","uri","status","carrierid","finalPrice"
"al","35215","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##ak","99504","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"ar","72209","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"az","85364","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##ca","90011","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##co","80219","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##ct","6606","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"de","19805","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##dc","20015","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"fl","33186","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"ga","30044","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##hi","96818","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##ia","50317","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##id","83709","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"il","60629","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##in","46227","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##ks","66062","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"ky","40214","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"la","70816","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
"##ma","2128","aspen-plan-3-${state}-7500-30-17500-1500000","${premium}","${total}","${duration}","${uri}","${status}","aspen","${finalPrice}"
