"state","zipcode","planid","premium","duration","uri","status"
"##al","35215","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##ak","99504","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"ar","72209","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"az","85364","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##ca","90011","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##co","80219","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##ct","06606","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"de","19805","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##dc","20015","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"fl","33186","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##ga","30044","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##hi","96818","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"ia","50317","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"id","83709","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"il","60629","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"in","46227","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##ks","66062","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"ky","40214","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"la","70816","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##ma","02128","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##md","21215","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##me","04401","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"mi","48228","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##mn","55106","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##mo","63129","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"ms","39503","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##mt","59102","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##nc","28269","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"nd","58103","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"ne","68104","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##nh","03103","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##nj","08701","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##nm","87121","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"nv","89110","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##ny","11226","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"oh","43228","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"ok","73160","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##or","97229","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##pa","19120","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##ri","02909","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"sc","29223","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##sd","57106","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"tn","37013","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"tx","79936","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##ut","84120","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"va","23464","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##vt","05401","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##wa","98115","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"##wi","53215","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"wv","25302","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
"wy","82001","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${uri}","${status}"
