"state","zipcode","planid","premium","duration","extendedInfo","dentalPrice","teladocPrice","pre-xPrice","uri","status"
"al","35215","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ak","99504","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"ar","72209","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"az","85364","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ca","90011","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##co","80219","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ct","06606","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##de","19805","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##dc","20015","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##fl","33186","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"ga","30044","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##hi","96818","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ia","50317","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##id","83709","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##il","60629","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##in","46227","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ks","66062","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"ky","40214","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##la","70816","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ma","02128","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##md","21215","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##me","04401","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mi","48228","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mn","55106","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mo","63129","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"ms","39503","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mt","59102","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"nc","28269","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nd","58103","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"ne","68104","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nh","03103","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nj","08701","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nm","87121","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"nv","89110","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ny","11226","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"oh","43228","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"ok","73160","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##or","97229","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##pa","19120","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
