"state","zipcode","planid","premium","duration","dentalPrice","teladocPrice"
"al","35215","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##ak","99504","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"ar","72209","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"az","85364","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##ca","90011","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"co","80219","nationalgeneral-${state}-5000-20-7000-1000000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"ct","06606","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##de","19805","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"dc","20015","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"fl","33186","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"ga","30044","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##hi","96818","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"ia","50317","nationalgeneral-${state}-5000-20-7000-1000000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"id","83709","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"il","60629","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##in","46227","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"ks","66062","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##ky","40214","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"la","70816","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##ma","02128","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"md","21215","nationalgeneral-${state}-5000-20-7000-1000000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##me","04401","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##mi","48228","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"##mn","55106","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
"mo","63129","nationalgeneral-${state}-5000-50-10000-250000","${premium}","${duration}","${dentalPrice}","${teladocPrice}"
