"state","zipcode","carrierid","productId","General Disclaimers","ACA TAX","FW","FWTitle","PLID","PL_CN"
"AL","35215","advanthealth","advanthealth-plan-1","${GeneralDisclaimers}","${ACATAX}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or who knowingly presents false information in an application for insurance is guilty of a crime and may be subject to restitution, fines or confinement in prison, or combination thereof.","FRAUD WARNING","tristar","TriStar"
"##AK","99504","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","A person who knowingly and with intent to injure, defraud, or deceive an insurance company files a claim containing false, incomplete, or misleading information may be prosecuted under state law.","","",""
"##AR","72209","advanthealth","advanthealth-plan-2","${GeneralDisclaimers}","${ACATAX}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or knowingly presents false information in an application is guilty of a crime and may be subject to fines and confinement in prison.","FRAUD WARNING FOR ARKANSAS","llbenefits","L & L Benefits"
"AZ","85364","advanthealth","advanthealth-plan-3","${GeneralDisclaimers}","${ACATAX}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","FRAUD WARNING","spark","SPARK"
"##CA","90011","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","Any person who knowingly presents a false or fraudulent claim for the payment of a loss is guilty of a crime and may be subject to fines and confinement in state prison.","","",""
"##CO","80219","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##CT","6606","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##DE","19805","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##DC","20015","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##FL","33186","advanthealth","advanthealth-plan-1","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##GA","30044","advanthealth","advanthealth-plan-1","${GeneralDisclaimers}","${ACATAX}","${FW}","","spark","SPARK"
"##HI","96818","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##IA","50317","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##ID","83709","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##IL","60629","advanthealth","","${GeneralDisclaimers}","${ACATAX}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or knowingly presents false information in an application for insurance may be guilty of a crime and may be subject to fines and confinement in prison.","standard-life-select-stm-plan-2","spark","SPARK"
"##IN","46227","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##KS","66062","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##KY","40214","advanthealth","advanthealth-plan-1","${GeneralDisclaimers}","${ACATAX}","Any person who knowingly and with intent to defraud any insurance company or other person files an application for insurance containing any materially false information or conceals, for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime.","FRAUD WARNING","",""
"##LA","70816","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit or knowingly presents false information in an application for insurance is guilty of a crime and may be subject to fines and confinement in prison.","","",""
"##MA","2128","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##MD","21215","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##ME","4401","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##MI","48228","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##MN","55106","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##MO","63129","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##MS","39503","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##MT","59102","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##NC","28269","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##ND","58103","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##NE","68104","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##NH","3103","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##NJ","8701","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##NM","87121","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##NV","89110","advanthealth","advanthealth-plan-2","${GeneralDisclaimers}","${ACATAX}","Any person who knowingly presents a false or fraudulent claim for payment of a loss or benefit, or knowingly presents false information in an application for insurance may be guilty of a crime and subject to fines, confinement in prison and/or denial of insurance benefits.","FRAUD WARNING","",""
"##NY","11226","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##OH","43228","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##OK","73160","advanthealth","advanthealth-plan-2","${GeneralDisclaimers}","${ACATAX}","Any person who knowingly, and with intent to injure, defraud or deceive any insurer, makes any claims for the proceeds of an insurance policy containing any false, incomplete or misleading information is guilty of a felony.","FRAUD WARNING FOR OKLAHOMA","",""
"##OR","97229","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##PA","19120","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","Any person who knowingly and with intent to defraud any insurance company or other person files an application for insurance or statement of claim containing any materially false information or conceals for the purpose of misleading, information concerning any fact material thereto commits a fraudulent insurance act, which is a crime and subjects such person to criminal and civil penalties.","standard-life-select-stm-plan-2","",""
"##RI","2909","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##SC","29223","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
"##SD","57106","carrier-slaico-","","${GeneralDisclaimers}","${ACATAX}","${FW}","","",""
