"provider","state","zipcode","planid","Enroll_Fee","TelaDoc_Fee","RxAdvocacy_Fee","Chiro_Fee","Freedom_Elite_Fee","NCE_Fee","VBP_Fee","AHI_duration","AHI_rate","PL_duration","PL_rate","Expected_Rate","Diff","PLID"
"AdvantHealth","al","35215","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","ak","99504","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","ar","72209","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"AdvantHealth","az","85364","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","ca","90011","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","co","80219","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","ct","06606","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","de","19805","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","dc","20015","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","fl","33186","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"AdvantHealth","ga","30044","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","hi","96818","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","ia","50317","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","id","83709","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","il","60629","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","in","46227","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","ks","66062","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"AdvantHealth","ky","40214","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","la","70816","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","0","19.95","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","ma","02128","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","md","21215","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","me","04401","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","mi","48228","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
"##AdvantHealth","mn","55106","advanthealth-plan-1-${state}-5000-20-9000-500000","15","19.99","17.95","19.95","50","19.99","0","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","hifa"
