"state","state1","zip","DOB","uri","state2","PLID"
"##Alabama","AL","35215","03/06/1980","${uri}","al","hifa"
"##Alaska","AK","99504","03/06/1980","${uri}","ak","hifa"
"##Arkansas","AR","72209","03/06/1980","${uri}","ar","hifa"
"##Arizona","AZ","85364","03/06/1980","${uri}","az","hifa"
"##California","CA","90011","03/06/1980","${uri}","ca","hifa"
"##Colorado","CO","80219","03/06/1980","${uri}","co","hifa"
"##Connecticut","CT","06606","03/06/1980","${uri}","ct","hifa"
"##Delaware","DE","19805","03/06/1980","${uri}","de","hifa"
"District Of Columbia","DC","20015","03/06/1980","${uri}","dc","hifa"
"Florida","FL","33186","03/06/1980","${uri}","fl","hifa"
"##Georgia","GA","30044","03/06/1980","${uri}","ga","hifa"
"##Hawaii","HI","96818","03/06/1980","${uri}","hi","hifa"
"Iowa","IA","50317","03/06/1980","${uri}","ia","hifa"
"##Idaho","ID","83709","03/06/1980","${uri}","id","hifa"
"##Illinois","IL","60629","03/06/1980","${uri}","il","hifa"
"##Indiana","IN","46227","03/06/1980","${uri}","in","hifa"
"##Kansas","KS","66062","03/06/1980","${uri}","ks","hifa"
"##Kentucky","KY","40214","03/06/1980","${uri}","ky","hifa"
"Louisiana","LA","70816","03/06/1980","${uri}","la","hifa"
"##Massachusetts","MA","02128","03/06/1980","${uri}","ma","hifa"
"##Maryland","MD","21215","03/06/1980","${uri}","md","hifa"
"##Maine","ME","04401","03/06/1980","${uri}","me","hifa"
"Michigan","MI","48228","03/06/1980","${uri}","mi","hifa"
"##Minnesota","MN","55106","03/06/1980","${uri}","mn","hifa"
"##Missouri","MO","63129","03/06/1980","${uri}","mo","hifa"
"##Mississippi","MS","39503","03/06/1980","${uri}","ms","hifa"
"##Montana","MT","59102","03/06/1980","${uri}","mt","hifa"
"##North Carolina","NC","28269","03/06/1980","${uri}","nc","hifa"
"##North Dakota","ND","58103","03/06/1980","${uri}","nd","hifa"
"##Nebraska","NE","68104","03/06/1980","${uri}","ne","hifa"
"##New Hampshire","NH","03103","03/06/1980","${uri}","nh","hifa"
"##New Jersey","NJ","08701","03/06/1980","${uri}","nj","hifa"
"##New Mexico","NM","87121","03/06/1980","${uri}","nm","hifa"
"##Nevada","NV","89110","03/06/1980","${uri}","nv","hifa"
"##New York","NY","11226","03/06/1980","${uri}","ny","hifa"
"##Ohio","OH","43228","03/06/1980","${uri}","oh","hifa"
"##Oklahoma","OK","73160","03/06/1980","${uri}","ok","hifa"
"##Oregon","OR","97229","03/06/1980","${uri}","or","hifa"
"##Pennsylvania","PA","19120","03/06/1980","${uri}","pa","hifa"
"##Rhode Island","RI","02909","03/06/1980","${uri}","ri","hifa"
"South Carolina","SC","29223","03/06/1980","${uri}","sc","hifa"
"##South Dakota","SD","57106","03/06/1980","${uri}","sd","hifa"
"Tennessee","TN","37013","03/06/1980","${uri}","tn","hifa"
"##Texas","TX","79936","03/06/1980","${uri}","tx","hifa"
"##Utah","UT","84120","03/06/1980","${uri}","ut","hifa"
"##Virginia","VA","23464","03/06/1980","${uri}","va","hifa"
"##Vermont","VT","05401","03/06/1980","${uri}","vt","hifa"
"##Washington","WA","98115","03/06/1980","${uri}","wa","hifa"
"##Wisconsin","WI","53215","03/06/1980","${uri}","wi","hifa"
"West Virginia","WV","25302","03/06/1980","${uri}","wv","hifa"
"Wyoming","WY","82001","03/06/1980","${uri}","wy","hifa"
