"provider","state","zipcode","planid","Enroll_Fee","TelaDoc_Fee","RxAdvocacy_Fee","NCE_Fee","AHI_duration","AHI_rate","PL_duration","PL_rate","Expected_Rate","Diff","PLID"
"AdvantHealth","al","35215","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","ak","99504","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","ar","72209","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","az","85364","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","ca","90011","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","co","80219","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","ct","6606","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","de","19805","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","dc","20015","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","fl","33186","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","ga","30044","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","hi","96818","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","ia","50317","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","id","83709","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","il","60629","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","in","46227","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","ks","66062","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","ky","40214","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","la","70816","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","ma","2128","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","md","21215","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","me","4401","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","mi","48228","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","mn","55106","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","mo","63129","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","ms","39503","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","mt","59102","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","nc","28269","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","nd","58103","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","ne","68104","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","nh","3103","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","nj","8701","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","nm","87121","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","nv","89110","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","ny","11226","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","oh","43228","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","ok","73160","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","or","97229","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","pa","19120","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","ri","2909","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","sc","29223","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","sd","57106","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","tn","37230","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","tx","79936","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","ut","84120","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","va","23464","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","vt","5401","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","wa","98115","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"AdvantHealth","wi","53215","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","wv","25302","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##AdvantHealth","wy","82001","advanthealth-plan-1-${state}-5000-20-9000-500000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
