"provider","state","zipcode","planid","Enroll_Fee","TelaDoc_Fee","RxAdvocacy_Fee","Medsense_Fee","AHI_duration","AHI_rate","PL_duration","PL_rate","Expected_Rate","Diff","PLID"
"LifeShield","al","35215","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","ak","99504","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","ar","72209","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","az","85364","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","ca","90011","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","co","80219","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","ct","6606","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","de","19805","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","dc","20015","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","fl","33186","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","ga","30044","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","hi","96818","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","ia","50317","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","id","83709","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"LifeShield","il","60629","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
"##LifeShield","in","46227","lifeshield-advantage-${state}-5000-20-9000-1000000","25","15","10","19.99","${AHI_duration}","${AHI_rate}","${PL_duration}","${PL_rate}","${Expected_Rate}","${Diff}","ica"
