"state","state1","zipcode","planCount","healthchoice","vitalacare","PLID"
"Alabama","AL","35215","${planCount}","${healthchoice}","${vitalacare}","ica"
"Alaska","AK","99504","${planCount}","${healthchoice}","${vitalacare}","ica"
"Arkansas","AR","72209","${planCount}","${healthchoice}","${vitalacare}","ica"
"Arizona","AZ","85364","${planCount}","${healthchoice}","${vitalacare}","ica"
"California","CA","90011","${planCount}","${healthchoice}","${vitalacare}","ica"
"Colorado","CO","80219","${planCount}","${healthchoice}","${vitalacare}","ica"
"Connecticut","CT","06606","${planCount}","${healthchoice}","${vitalacare}","ica"
"Delaware","DE","19805","${planCount}","${healthchoice}","${vitalacare}","ica"
"District Of Columbia","DC","20015","${planCount}","${healthchoice}","${vitalacare}","ica"
"Florida","FL","33186","${planCount}","${healthchoice}","${vitalacare}","ica"
"Georgia","GA","30044","${planCount}","${healthchoice}","${vitalacare}","ica"
"Hawaii","HI","96818","${planCount}","${healthchoice}","${vitalacare}","ica"
"Iowa","IA","50317","${planCount}","${healthchoice}","${vitalacare}","ica"
"Idaho","ID","83709","${planCount}","${healthchoice}","${vitalacare}","ica"
"Illinois","IL","60629","${planCount}","${healthchoice}","${vitalacare}","ica"
"Indiana","IN","46227","${planCount}","${healthchoice}","${vitalacare}","ica"
"Kansas","KS","66062","${planCount}","${healthchoice}","${vitalacare}","ica"
"Kentucky","KY","40214","${planCount}","${healthchoice}","${vitalacare}","ica"
"Louisiana","LA","70816","${planCount}","${healthchoice}","${vitalacare}","ica"
"Massachusetts","MA","02128","${planCount}","${healthchoice}","${vitalacare}","ica"
"Maryland","MD","21215","${planCount}","${healthchoice}","${vitalacare}","ica"
"Maine","ME","04401","${planCount}","${healthchoice}","${vitalacare}","ica"
"Michigan","MI","48228","${planCount}","${healthchoice}","${vitalacare}","ica"
"Minnesota","MN","55106","${planCount}","${healthchoice}","${vitalacare}","ica"
"Missouri","MO","63129","${planCount}","${healthchoice}","${vitalacare}","ica"
"Mississippi","MS","39503","${planCount}","${healthchoice}","${vitalacare}","ica"
"Montana","MT","59102","${planCount}","${healthchoice}","${vitalacare}","ica"
"North Carolina","NC","28269","${planCount}","${healthchoice}","${vitalacare}","ica"
"North Dakota","ND","58103","${planCount}","${healthchoice}","${vitalacare}","ica"
"Nebraska","NE","68104","${planCount}","${healthchoice}","${vitalacare}","ica"
"New Hampshire","NH","03103","${planCount}","${healthchoice}","${vitalacare}","ica"
"New Jersey","NJ","08701","${planCount}","${healthchoice}","${vitalacare}","ica"
"New Mexico","NM","87121","${planCount}","${healthchoice}","${vitalacare}","ica"
"Nevada","NV","89110","${planCount}","${healthchoice}","${vitalacare}","ica"
"New York","NY","11226","${planCount}","${healthchoice}","${vitalacare}","ica"
"Ohio","OH","43228","${planCount}","${healthchoice}","${vitalacare}","ica"
"Oklahoma","OK","73160","${planCount}","${healthchoice}","${vitalacare}","ica"
"Oregon","OR","97229","${planCount}","${healthchoice}","${vitalacare}","ica"
"Pennsylvania","PA","19120","${planCount}","${healthchoice}","${vitalacare}","ica"
"Rhode Island","RI","02909","${planCount}","${healthchoice}","${vitalacare}","ica"
"South Carolina","SC","29223","${planCount}","${healthchoice}","${vitalacare}","ica"
"South Dakota","SD","57106","${planCount}","${healthchoice}","${vitalacare}","ica"
"Tennessee","TN","37013","${planCount}","${healthchoice}","${vitalacare}","ica"
"Texas","TX","79936","${planCount}","${healthchoice}","${vitalacare}","ica"
"Utah","UT","84120","${planCount}","${healthchoice}","${vitalacare}","ica"
"Virginia","VA","23464","${planCount}","${healthchoice}","${vitalacare}","ica"
"Vermont","VT","05401","${planCount}","${healthchoice}","${vitalacare}","ica"
"Washington","WA","98115","${planCount}","${healthchoice}","${vitalacare}","ica"
"Wisconsin","WI","53215","${planCount}","${healthchoice}","${vitalacare}","ica"
"West Virginia","WV","25302","${planCount}","${healthchoice}","${vitalacare}","ica"
"Wyoming","WY","82001","${planCount}","${healthchoice}","${vitalacare}","ica"
