"state","state1","zip","DOB","uri","state2","PLID"
"##Alabama","AL","35215","3/6/1980","${uri}","al","ica"
"##Alaska","AK","99504","3/6/1980","${uri}","ak","ica"
"##Arkansas","AR","72209","3/6/1980","${uri}","ar","ica"
"##Arizona","AZ","85364","3/6/1980","${uri}","az","ica"
"##California","CA","90011","3/6/1980","${uri}","ca","ica"
"##Colorado","CO","80219","3/6/1980","${uri}","co","ica"
"##Connecticut","CT","6606","3/6/1980","${uri}","ct","ica"
"##Delaware","DE","19805","3/6/1980","${uri}","de","ica"
"District Of Columbia","DC","20015","3/6/1980","${uri}","dc","ica"
"Florida","FL","33186","3/6/1980","${uri}","fl","ica"
"##Georgia","GA","30044","3/6/1980","${uri}","ga","ica"
"##Hawaii","HI","96818","3/6/1980","${uri}","hi","ica"
"Iowa","IA","50317","3/6/1980","${uri}","ia","ica"
"##Idaho","ID","83709","3/6/1980","${uri}","id","ica"
"##Illinois","IL","60629","3/6/1980","${uri}","il","ica"
"##Indiana","IN","46227","3/6/1980","${uri}","in","ica"
"##Kansas","KS","66062","3/6/1980","${uri}","ks","ica"
"##Kentucky","KY","40214","3/6/1980","${uri}","ky","ica"
"Louisiana","LA","70816","3/6/1980","${uri}","la","ica"
"##Massachusetts","MA","2128","3/6/1980","${uri}","ma","ica"
"##Maryland","MD","21215","3/6/1980","${uri}","md","ica"
"##Maine","ME","4401","3/6/1980","${uri}","me","ica"
"Michigan","MI","48228","3/6/1980","${uri}","mi","ica"
"##Minnesota","MN","55106","3/6/1980","${uri}","mn","ica"
"##Missouri","MO","63129","3/6/1980","${uri}","mo","ica"
"##Mississippi","MS","39503","3/6/1980","${uri}","ms","ica"
"##Montana","MT","59102","3/6/1980","${uri}","mt","ica"
"##North Carolina","NC","28269","3/6/1980","${uri}","nc","ica"
"##North Dakota","ND","58103","3/6/1980","${uri}","nd","ica"
"##Nebraska","NE","68104","3/6/1980","${uri}","ne","ica"
"##New Hampshire","NH","3103","3/6/1980","${uri}","nh","ica"
"##New Jersey","NJ","8701","3/6/1980","${uri}","nj","ica"
"##New Mexico","NM","87121","3/6/1980","${uri}","nm","ica"
"##Nevada","NV","89110","3/6/1980","${uri}","nv","ica"
"##New York","NY","11226","3/6/1980","${uri}","ny","ica"
"##Ohio","OH","43228","3/6/1980","${uri}","oh","ica"
"##Oklahoma","OK","73160","3/6/1980","${uri}","ok","ica"
"##Oregon","OR","97229","3/6/1980","${uri}","or","ica"
"##Pennsylvania","PA","19120","3/6/1980","${uri}","pa","ica"
"##Rhode Island","RI","2909","3/6/1980","${uri}","ri","ica"
"South Carolina","SC","29223","3/6/1980","${uri}","sc","ica"
"##South Dakota","SD","57106","3/6/1980","${uri}","sd","ica"
"Tennessee","TN","37013","3/6/1980","${uri}","tn","ica"
"##Texas","TX","79936","3/6/1980","${uri}","tx","ica"
"##Utah","UT","84120","3/6/1980","${uri}","ut","ica"
"##Virginia","VA","23464","3/6/1980","${uri}","va","ica"
"##Vermont","VT","5401","3/6/1980","${uri}","vt","ica"
"##Washington","WA","98115","3/6/1980","${uri}","wa","ica"
"##Wisconsin","WI","53215","3/6/1980","${uri}","wi","ica"
"West Virginia","WV","25302","3/6/1980","${uri}","wv","ica"
"Wyoming","WY","82001","3/6/1980","${uri}","wy","ica"
