"state","state1","zipcode","planCount","AdvantHealth","pivotcompanion","everest","everest-one","lifeshield","nationalgeneral","slaico","PLID"
"Alabama","AL","35215","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"##Alaska","AK","99504","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Arkansas","AR","72209","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Arizona","AZ","85364","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"##California","CA","90011","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Colorado","CO","80219","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Connecticut","CT","06606","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Delaware","DE","19805","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"District Of Columbia","DC","20015","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Florida","FL","33186","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Georgia","GA","30044","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Hawaii","HI","96818","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Iowa","IA","50317","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Idaho","ID","83709","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Illinois","IL","60629","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Indiana","IN","46227","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Kansas","KS","66062","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Kentucky","KY","40214","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Louisiana","LA","70816","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"##Massachusetts","MA","02128","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Maryland","MD","21215","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Maine","ME","04401","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Michigan","MI","48228","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Minnesota","MN","55106","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
"Missouri","MO","63129","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","ica"
