"state","zipcode","planid","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice","PLID"
"al","35215","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ak","99504","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"ar","72209","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"az","85364","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ca","90011","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##co","80219","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ct","6606","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##de","19805","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##dc","20015","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"fl","33186","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"ga","30044","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##hi","96818","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ia","50317","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##id","83709","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"il","60629","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##in","46227","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ks","66062","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"ky","40214","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"la","70816","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ma","2128","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##md","21215","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##me","4401","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##mi","48228","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##mn","55106","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"mo","63129","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"ms","39503","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##mt","59102","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"nc","28269","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##nd","58103","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ne","68104","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
