"state","zipcode","planid","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice","PLID"
"##al","35215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ak","99504","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ar","72209","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##az","85364","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ca","90011","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##co","80219","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ct","6606","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##de","19805","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##dc","20015","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"fl","33186","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ga","30044","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##hi","96818","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ia","50317","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##id","83709","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##il","60629","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##in","46227","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ks","66062","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ky","40214","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"la","70816","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ma","2128","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##md","21215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##me","4401","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##mi","48228","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##mn","55106","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"mo","63129","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ms","39503","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##mt","59102","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##nc","28269","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##nd","58103","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ne","68104","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##nh","3103","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##nj","8701","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##nm","87121","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##nv","89110","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ny","11226","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##oh","43228","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ok","73160","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##or","97229","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"pa","19120","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ri","2909","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"sc","29223","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"sd","57106","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"tn","37013","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##tx","79936","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##ut","84120","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##va","23464","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##vt","5401","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##wa","98115","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##wi","53215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"wv","25302","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
"##wy","82001","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","ica"
