state,zipcode,planid,premium,duration,extendedInfo/pre-ex,uri,status,carrierid,finalPrice,,PLID
##al,35215,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ak,99504,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ar,72209,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##az,85364,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ca,90011,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##co,80219,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ct,6606,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##de,19805,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##dc,20015,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
fl,33186,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ga,30044,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##hi,96818,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ia,50317,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##id,83709,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
il,60629,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
in,46227,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ks,66062,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ky,40214,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
la,70816,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ma,2128,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##md,21215,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##me,4401,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##mi,48228,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
mn,55106,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
mo,63129,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ms,39503,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##mt,59102,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
nc,28269,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##nd,58103,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ne,68104,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##nh,3103,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##nj,8701,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##nm,87121,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##nv,89110,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ny,11226,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##oh,43228,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ok,73160,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
or,97229,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
pa,19120,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ri,2909,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
sc,29223,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
sd,57106,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
tn,37013,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##tx,79936,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##ut,84120,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##va,23464,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##vt,5401,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##wa,98115,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##wi,53215,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
wv,25302,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
##wy,82001,lifeshield-flex-${state}-5000-20-9000-750000,${premium},${duration},${extendedInfo},${uri},${status},lifeshield,${finalPrice},,llbenefits
