"provider","state","planid","QA_Apply_page_rate","QA_Apply_page_fee","QA_duration","testprod_Apply_page_rate","testprod_Apply_page_fee","Prod_duration","Diff","zipcode","Primary_dob","Primary_gender","PLID"
"##Everest","al","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","35215","1/1/1980","F","llbenefits"
"##Everest","ak","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","99504","1/1/1980","F",""
"##Everest","ar","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","72209","1/1/1980","F",""
"##Everest","az","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","85364","1/1/1980","F",""
"##Everest","ca","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","90011","1/1/1980","F",""
"##Everest","co","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","80219","1/1/1980","F",""
"##Everest","ct","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","06606","1/1/1980","F",""
"##Everest","de","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","19805","1/1/1980","F",""
"##Everest","dc","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","20015","1/1/1980","F",""
"##Everest","fl","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","33186","1/1/1980","F",""
"##Everest","ga","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","30044","1/1/1980","F",""
"##Everest","hi","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","96818","1/1/1980","F",""
"##Everest","ia","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","50317","1/1/1980","F",""
"##Everest","id","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","83709","1/1/1980","F",""
"Everest","il","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","60629","1/1/1980","F","llbenefits"
"Everest","in","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","46227","1/1/1980","F","llbenefits"
"##Everest","ks","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","66062","1/1/1980","F",""
"##Everest","ky","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","40214","1/1/1980","F",""
"Everest","la","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","70816","1/1/1980","F","llbenefits"
"##Everest","ma","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","02128","1/1/1980","F",""
"##Everest","md","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","21215","1/1/1980","F",""
"##Everest","me","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","04401","1/1/1980","F",""
"##Everest","mi","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","48228","1/1/1980","F",""
"Everest","mn","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","55106","1/1/1980","F","llbenefits"
"Everest","mo","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","63129","1/1/1980","F","llbenefits"
"##Everest","ms","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","39503","1/1/1980","F",""
"##Everest","mt","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","59102","1/1/1980","F",""
"Everest","nc","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","28269","1/1/1980","F","llbenefits"
"##Everest","nd","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","58103","1/1/1980","F",""
"##Everest","ne","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","68104","1/1/1980","F",""
"##Everest","nh","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","03103","1/1/1980","F",""
"##Everest","nj","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","08701","1/1/1980","F",""
"##Everest","nm","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","87121","1/1/1980","F",""
"##Everest","nv","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","89110","1/1/1980","F",""
"##Everest","ny","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","11226","1/1/1980","F",""
"##Everest","oh","lifeshield-advantage-${state}-5000-20-9000-750000","${Apply_page_QA_rate}","${QA_fee}","${QA_duration}","${Apply_page_testprod_rate}","${testprod_fee}","${Prod_duration}","${trendFactor}","43228","1/1/1980","F",""
