"state","state1","zip","DOB","uri","state2","PLID"
"Alabama","AL","35215","03/06/1980","${uri}","al","spark"
"##Alaska","AK","99504","03/06/1980","${uri}","ak","spark"
"##Arkansas","AR","72209","03/06/1980","${uri}","ar","spark"
"Arizona","AZ","85364","03/06/1980","${uri}","az","spark"
"##California","CA","90011","03/06/1980","${uri}","ca","spark"
"##Colorado","CO","80219","03/06/1980","${uri}","co","spark"
"##Connecticut","CT","06606","03/06/1980","${uri}","ct","spark"
"Delaware","DE","19805","03/06/1980","${uri}","de","spark"
"##District Of Columbia","DC","20015","03/06/1980","${uri}","dc","spark"
"##Florida","FL","33186","03/06/1980","${uri}","fl","spark"
"Georgia","GA","30044","03/06/1980","${uri}","ga","spark"
"##Hawaii","HI","96818","03/06/1980","${uri}","hi","spark"
"##Iowa","IA","50317","03/06/1980","${uri}","ia","spark"
"##Idaho","ID","83709","03/06/1980","${uri}","id","spark"
"Illinois","IL","60629","03/06/1980","${uri}","il","spark"
"##Indiana","IN","46227","03/06/1980","${uri}","in","spark"
"##Kansas","KS","66062","03/06/1980","${uri}","ks","spark"
"Kentucky","KY","40214","03/06/1980","${uri}","ky","spark"
"##Louisiana","LA","70816","03/06/1980","${uri}","la","spark"
"##Massachusetts","MA","02128","03/06/1980","${uri}","ma","spark"
"##Maryland","MD","21215","03/06/1980","${uri}","md","spark"
"##Maine","ME","04401","03/06/1980","${uri}","me","spark"
"##Michigan","MI","48228","03/06/1980","${uri}","mi","spark"
"##Minnesota","MN","55106","03/06/1980","${uri}","mn","spark"
"##Missouri","MO","63129","03/06/1980","${uri}","mo","spark"
"Mississippi","MS","39503","03/06/1980","${uri}","ms","spark"
"##Montana","MT","59102","03/06/1980","${uri}","mt","spark"
"##North Carolina","NC","28269","03/06/1980","${uri}","nc","spark"
"North Dakota","ND","58103","03/06/1980","${uri}","nd","spark"
"Nebraska","NE","68104","03/06/1980","${uri}","ne","spark"
"##New Hampshire","NH","03103","03/06/1980","${uri}","nh","spark"
"##New Jersey","NJ","08701","03/06/1980","${uri}","nj","spark"
"New Mexico","NM","87121","03/06/1980","${uri}","nm","spark"
"Nevada","NV","89110","03/06/1980","${uri}","nv","spark"
"##New York","NY","11226","03/06/1980","${uri}","ny","spark"
"Ohio","OH","43228","03/06/1980","${uri}","oh","spark"
"Oklahoma","OK","73160","03/06/1980","${uri}","ok","spark"
"##Oregon","OR","97229","03/06/1980","${uri}","or","spark"
"Pennsylvania","PA","19120","03/06/1980","${uri}","pa","spark"
"##Rhode Island","RI","02909","03/06/1980","${uri}","ri","spark"
"##South Carolina","SC","29223","03/06/1980","${uri}","sc","spark"
"##South Dakota","SD","57106","03/06/1980","${uri}","sd","spark"
"##Tennessee","TN","37013","03/06/1980","${uri}","tn","spark"
"Texas","TX","79936","03/06/1980","${uri}","tx","spark"
"##Utah","UT","84120","03/06/1980","${uri}","ut","spark"
"Virginia","VA","23464","03/06/1980","${uri}","va","spark"
"##Vermont","VT","05401","03/06/1980","${uri}","vt","spark"
"##Washington","WA","98115","03/06/1980","${uri}","wa","spark"
"Wisconsin","WI","53215","03/06/1980","${uri}","wi","spark"
"##West Virginia","WV","25302","03/06/1980","${uri}","wv","spark"
"##Wyoming","WY","82001","03/06/1980","${uri}","wy","spark"
