"state","zipcode","planid","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice","PLID"
"al","35215","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##ak","99504","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"ar","72209","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"az","85364","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##ca","90011","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##co","80219","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##ct","06606","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##de","19805","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##dc","20015","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"fl","33186","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"ga","30044","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##hi","96818","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##ia","50317","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##id","83709","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"il","60629","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"in","46227","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##ks","66062","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"ky","40214","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"la","70816","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##ma","02128","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##md","21215","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##me","04401","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##mi","48228","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##mn","55106","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"mo","63129","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"ms","39503","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##mt","59102","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"nc","28269","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##nd","58103","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##ne","68104","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##nh","03103","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##nj","08701","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##nm","87121","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"nv","89110","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##ny","11226","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##oh","43228","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"ok","73160","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##or","97229","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"pa","19120","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##ri","02909","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"sc","29223","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"sd","57106","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"tn","37013","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"tx","79936","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##ut","84120","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##va","23464","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##vt","05401","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##wa","98115","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##wi","53215","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"wv","25302","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
"##wy","82001","lifeshield-advantage-${state}-5000-20-9000-1000000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}","spark"
