"state","zipcode","planid","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice"
"##al","35215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ak","99504","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ar","72209","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##az","85364","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ca","90011","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##co","80219","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ct","06606","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##de","19805","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##dc","20015","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"fl","33186","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ga","30044","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##hi","96818","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ia","50317","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##id","83709","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"il","60629","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"in","46227","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ks","66062","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ky","40214","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"la","70816","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ma","02128","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##md","21215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##me","04401","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##mi","48228","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"mn","55106","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"mo","63129","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ms","39503","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##mt","59102","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"nc","28269","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##nd","58103","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##ne","68104","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
"##nh","03103","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","lifeshield","${finalPrice}"
