"state","state1","zipcode","planCount","pivotcompanion","everest","everest-one","lifeshield","nationalgeneral","slaico","unitedhealthone","AdvantHealth"
"Alabama","AL","35215","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"##Alaska","AK","99504","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Arkansas","AR","72209","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Arizona","AZ","85364","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"##California","CA","90011","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Colorado","CO","80219","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Connecticut","CT","06606","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Delaware","DE","19805","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"District Of Columbia","DC","20015","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Florida","FL","33186","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Georgia","GA","30044","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Hawaii","HI","96818","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Iowa","IA","50317","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Idaho","ID","83709","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Illinois","IL","60629","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Indiana","IN","46227","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Kansas","KS","66062","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Kentucky","KY","40214","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Louisiana","LA","70816","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"##Massachusetts","MA","02128","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Maryland","MD","21215","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Maine","ME","04401","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Michigan","MI","48228","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Minnesota","MN","55106","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Missouri","MO","63129","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Mississippi","MS","39503","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Montana","MT","59102","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"North Carolina","NC","28269","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"North Dakota","ND","58103","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Nebraska","NE","68104","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"New Hampshire","NH","03103","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"##New Jersey","NJ","08701","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"New Mexico","NM","87121","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Nevada","NV","89110","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"##New York","NY","11226","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Ohio","OH","43228","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Oklahoma","OK","73160","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Oregon","OR","97229","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Pennsylvania","PA","19120","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"##Rhode Island","RI","02909","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"South Carolina","SC","29223","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"South Dakota","SD","57106","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Tennessee","TN","37013","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Texas","TX","79936","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Utah","UT","84120","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"Virginia","VA","23464","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
"##Vermont","VT","05401","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${unitedhealthone}","${advanthealth}"
