"state","zipcode","planid","premium","duration","extendedInfo","dentalPrice","teladocPrice","pre-xPrice","uri","status"
"##al","35215","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ak","99504","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"ar","72209","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"az","85364","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ca","90011","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##co","80219","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ct","06606","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"de","19805","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"dc","20015","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"fl","33186","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ga","30044","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##hi","96818","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"ia","50317","slaico-${state}-plan-2-10000-30-20000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
