"state","zipcode","carrierid","uri","AutoEmail","status","productId","PLID"
"##AL","35216","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","01/01/1975"
"##FL","32099","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","01/01/1975"
"##DE","19805","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","01/01/1975"
"##OK","73160","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","01/01/1975"
"##TX","79936","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","01/01/1975"
"##NC","28269","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","01/01/1975"
"##GA","30301","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","01/01/1975"
"##SC","29223","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","01/01/1975"
"##KY","40214","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","01/01/1975"
"IL","60002","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","spark"
"##LA","70816","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","01/01/1975"
"##ID","83709","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","01/01/1975"
"##MN","55106","everest","${uri}","${AutoEmail}","${status}","everest-prime-stm","01/01/1975"
